Cat_Name,Device,Group,Day,Order,Scale,Preference,Pref2,FIV
Branford,Brush,3,1,1,,Both,3. Both,Pos
Branford,Brush,3,2,1,,Both,3. Both,Pos
Branford,Brush,3,3,1,,Both,3. Both,Pos
Branford,Brush,3,4,1,,Both,3. Both,Pos
Branford,Brush,3,5,1,,Both,3. Both,Pos
Branford,Brush,3,6,1,,Both,3. Both,Pos
Branford,Laser,3,1,4,2,NA,,Pos
Branford,Laser,3,2,3,1,NA,,Pos
Branford,Laser,3,3,3,1,NA,,Pos
Branford,Laser,3,4,3,1,NA,,Pos
Branford,Laser,3,5,4,1,NA,,Pos
Branford,Laser,3,6,2,1,NA,,Pos
Branford,Ball,3,1,2,2,NA,,Pos
Branford,Ball,3,2,4,2,NA,,Pos
Branford,Ball,3,3,4,2,NA,,Pos
Branford,Ball,3,4,4,2,NA,,Pos
Branford,Ball,3,5,2,2,NA,,Pos
Branford,Ball,3,6,3,2,NA,,Pos
Branford,Human,3,1,3,2,NA,,Pos
Branford,Human,3,2,2,2,NA,,Pos
Branford,Human,3,3,2,2,NA,,Pos
Branford,Human,3,4,2,2,NA,,Pos
Branford,Human,3,5,3,2,NA,,Pos
Branford,Human,3,6,4,2,NA,,Pos
Branford,Scratching,3,1,5,,None,4. None,Pos
Branford,Scratching,3,2,5,,None,4. None,Pos
Branford,Scratching,3,3,5,,None,4. None,Pos
Branford,Scratching,3,4,5,,None,4. None,Pos
Branford,Scratching,3,5,5,,Box,2. Box,Pos
Branford,Scratching,3,6,5,,None,4. None,Pos
Buick,Brush,1,1,1,,Hair,1. Hairbrush,Neg
Buick,Brush,1,2,1,,Glove,2. Glovebrush,Neg
Buick,Brush,1,3,1,,Both,3. Both,Neg
Buick,Brush,1,4,1,,Both,3. Both,Neg
Buick,Brush,1,5,1,,Both,3. Both,Neg
Buick,Brush,1,6,1,,Both,3. Both,Neg
Buick,Laser,1,1,2,1,NA,,Neg
Buick,Laser,1,2,2,2,NA,,Neg
Buick,Laser,1,3,4,2,NA,,Neg
Buick,Laser,1,4,4,2,NA,,Neg
Buick,Laser,1,5,3,2,NA,,Neg
Buick,Laser,1,6,3,2,NA,,Neg
Buick,Ball,1,1,3,2,NA,,Neg
Buick,Ball,1,2,3,2,NA,,Neg
Buick,Ball,1,3,2,1,NA,,Neg
Buick,Ball,1,4,2,2,NA,,Neg
Buick,Ball,1,5,4,2,NA,,Neg
Buick,Ball,1,6,4,1,NA,,Neg
Buick,Human,1,1,4,0,NA,,Neg
Buick,Human,1,2,4,0,NA,,Neg
Buick,Human,1,3,3,0,NA,,Neg
Buick,Human,1,4,3,0,NA,,Neg
Buick,Human,1,5,2,1,NA,,Neg
Buick,Human,1,6,2,0,NA,,Neg
Buick,Scratching,1,1,5,,Box,2. Box,Neg
Buick,Scratching,1,2,5,,Both,3. Both,Neg
Buick,Scratching,1,3,5,,Both,3. Both,Neg
Buick,Scratching,1,4,5,,Box,2. Box,Neg
Buick,Scratching,1,5,5,,Box,2. Box,Neg
Buick,Scratching,1,6,5,,Both,3. Both,Neg
Chevy,Brush,1,1,1,,None,4. None,Pos
Chevy,Brush,1,2,1,,Glove,2. Glovebrush,Pos
Chevy,Brush,1,3,1,,None,4. None,Pos
Chevy,Brush,1,4,1,,None,4. None,Pos
Chevy,Brush,1,5,1,,None,4. None,Pos
Chevy,Brush,1,6,1,,None,4. None,Pos
Chevy,Laser,1,1,2,0,NA,,Pos
Chevy,Laser,1,2,2,1,NA,,Pos
Chevy,Laser,1,3,4,1,NA,,Pos
Chevy,Laser,1,4,4,0,NA,,Pos
Chevy,Laser,1,5,3,1,NA,,Pos
Chevy,Laser,1,6,3,1,NA,,Pos
Chevy,Ball,1,1,3,1,NA,,Pos
Chevy,Ball,1,2,3,1,NA,,Pos
Chevy,Ball,1,3,2,1,NA,,Pos
Chevy,Ball,1,4,2,1,NA,,Pos
Chevy,Ball,1,5,4,2,NA,,Pos
Chevy,Ball,1,6,4,2,NA,,Pos
Chevy,Human,1,1,4,0,NA,,Pos
Chevy,Human,1,2,4,0,NA,,Pos
Chevy,Human,1,3,3,0,NA,,Pos
Chevy,Human,1,4,3,0,NA,,Pos
Chevy,Human,1,5,2,0,NA,,Pos
Chevy,Human,1,6,2,0,NA,,Pos
Chevy,Scratching,1,1,5,,Box,2. Box,Pos
Chevy,Scratching,1,2,5,,Box,2. Box,Pos
Chevy,Scratching,1,3,5,,Box,2. Box,Pos
Chevy,Scratching,1,4,5,,None,4. None,Pos
Chevy,Scratching,1,5,5,,None,4. None,Pos
Chevy,Scratching,1,6,5,,Box,2. Box,Pos
Coltrane,Brush,3,1,1,,Both,3. Both,Neg
Coltrane,Brush,3,2,1,,Both,3. Both,Neg
Coltrane,Brush,3,3,1,,Both,3. Both,Neg
Coltrane,Brush,3,4,1,,Both,3. Both,Neg
Coltrane,Brush,3,5,1,,Both,3. Both,Neg
Coltrane,Brush,3,6,1,,Both,3. Both,Neg
Coltrane,Laser,3,1,4,2,NA,,Neg
Coltrane,Laser,3,2,3,2,NA,,Neg
Coltrane,Laser,3,3,3,1,NA,,Neg
Coltrane,Laser,3,4,3,2,NA,,Neg
Coltrane,Laser,3,5,4,1,NA,,Neg
Coltrane,Laser,3,6,2,2,NA,,Neg
Coltrane,Ball,3,1,2,1,NA,,Neg
Coltrane,Ball,3,2,4,2,NA,,Neg
Coltrane,Ball,3,3,4,2,NA,,Neg
Coltrane,Ball,3,4,4,2,NA,,Neg
Coltrane,Ball,3,5,2,1,NA,,Neg
Coltrane,Ball,3,6,3,2,NA,,Neg
Coltrane,Human,3,1,3,2,NA,,Neg
Coltrane,Human,3,2,2,2,NA,,Neg
Coltrane,Human,3,3,2,2,NA,,Neg
Coltrane,Human,3,4,2,2,NA,,Neg
Coltrane,Human,3,5,3,1,NA,,Neg
Coltrane,Human,3,6,4,0,NA,,Neg
Coltrane,Scratching,3,1,5,,Box,2. Box,Neg
Coltrane,Scratching,3,2,5,,Box,2. Box,Neg
Coltrane,Scratching,3,3,5,,Box,2. Box,Neg
Coltrane,Scratching,3,4,5,,None,4. None,Neg
Coltrane,Scratching,3,5,5,,None,4. None,Neg
Coltrane,Scratching,3,6,5,,Circle,1. Circle,Neg
Dodge,Brush,1,1,1,,Both,3. Both,Pos
Dodge,Brush,1,2,1,,Hair,1. Hairbrush,Pos
Dodge,Brush,1,3,1,,Both,3. Both,Pos
Dodge,Brush,1,4,1,,Hair,1. Hairbrush,Pos
Dodge,Brush,1,5,1,,Hair,1. Hairbrush,Pos
Dodge,Brush,1,6,1,,None,4. None,Pos
Dodge,Laser,1,1,2,2,NA,,Pos
Dodge,Laser,1,2,2,2,NA,,Pos
Dodge,Laser,1,3,4,2,NA,,Pos
Dodge,Laser,1,4,4,2,NA,,Pos
Dodge,Laser,1,5,3,2,NA,,Pos
Dodge,Laser,1,6,3,2,NA,,Pos
Dodge,Ball,1,1,3,1,NA,,Pos
Dodge,Ball,1,2,3,1,NA,,Pos
Dodge,Ball,1,3,2,2,NA,,Pos
Dodge,Ball,1,4,2,1,NA,,Pos
Dodge,Ball,1,5,4,1,NA,,Pos
Dodge,Ball,1,6,4,0,NA,,Pos
Dodge,Human,1,1,4,1,NA,,Pos
Dodge,Human,1,2,4,0,NA,,Pos
Dodge,Human,1,3,3,1,NA,,Pos
Dodge,Human,1,4,3,0,NA,,Pos
Dodge,Human,1,5,2,1,NA,,Pos
