Tube,substrate,Volume to add in mL,total liquid volume,Media type,drying time (hrs),storage headspace,Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,H2,O2,N2,CO,CO2,,scaled CO,scaled avg,
SYNGAS,,,,,,,,,,,,,,,,,,,,,
A,602h,4,4.12,1YCM,1,5.0 Ar,1,10,120,10,,,12859.7,,409,717.7,236.3,,596.6210269,733.2229509,
B,602h,4,4.12,1YCM,1,5.0 Ar,1,10,120,10,,,11934.1,,463.4,1118.2,77.3,,820.4315926,,
C,602h,4,4.12,1YCM,1,5.0 Ar,1,10,120,10,,,12874.6,,380.7,876.3,162.7,,782.6162333,,
D,602h,4,4.12,1YCM,1,5.0 Ar,2,10,120,10,,,13321.7,,372.7,827.7,181.8,,755.0791521,591.7913723,
E,602h,4,4.12,1YCM,1,5.0 Ar,2,10,120,10,,,13601.8,,379.9,689.4,230.4,,616.9939458,,
F,602h,4,4.12,1YCM,1,5.0 Ar,2,10,120,10,,,13962,,402.3,477.2,301.5,,403.3010191,,
G,602h,4,4.12,1YCM,1,5.0 Ar,3,10,120,10,,,12660.8,,346.5,984.2,120.3,,965.7373737,922.1021081,
H,602h,4,4.12,1YCM,1,5.0 Ar,3,10,120,10,,,11798.5,,457.1,936.7,116.8,,696.735944,,
I,602h,4,4.12,1YCM,1,5.0 Ar,3,10,120,10,,,11920.9,,356.9,1158.7,58.8,,1103.833006,,
J,3MM,4,4.12,1YCM,1,5.0 Ar,4,10,120,10,,,12672.9,,335.1,810.4,143.7,,822.2500746,794.1746839,
K,3MM,4,4.12,1YCM,1,5.0 Ar,4,10,120,10,,,12681.1,,334.8,753.5,156.3,,765.2031063,,
L,3MM,4,4.12,1YCM,1,5.0 Ar,4,10,120,10,,,12524.9,,345.7,808.4,146.8,,795.0708707,,
