Tube,Notch,Substrate,Volume to Add In,Total Liquid Volume,Formulation,Drying Time,Substrate Size (cm^2),Coating Volume (uL),Coated Surface Area (cm^2),Shaker Speed,Argon flush time at 10psi (min),,H2,O2,N2,CO,CO2,Scaled CO,AVG,N2 Base,H2,O2,N2,CO,CO2,Scaled CO
,,,,,,,,,,,,,,,,,,,,340,,,,,,
A,none,3MM,4,4.12,1,60,10,120,10,50,2,,12582,,358,925,148,878.4916201,874.1994964,,13785,,409,139,284,115.5501222
B,none,3MM,4,4.12,1,60,10,120,10,50,2,,13439,,339,937,126,939.7640118,,,14053,,389,248,357,216.7609254
C,none,3MM,4,4.12,1,60,10,120,10,50,2,,13242,,350,828,166,804.3428571,,,13709,,475,58,398,41.51578947
D,left,3MM,4,4.12,2,60,10,120,10,50,2,,12396,,318,1109,68,1185.72327,1197.017779,,12903,,340,622,228,622
E,left,3MM,4,4.12,2,60,10,120,10,50,2,,12356,,327,1212,45,1260.183486,,,12556,,348,866,165,846.091954
F,left,3MM,4,4.12,2,60,10,120,10,50,2,,12072,,307,1034,82,1145.14658,,,12949,,339,378,297,379.1150442
G,right,3MM,4,4.12,3,60,10,120,10,50,2,,12594,,330,927,116,955.0909091,896.8607124,,12887,,401,433,265,367.1321696
H,right,3MM,4,4.12,3,60,10,120,10,50,2,,11943,,380,901,117,806.1578947,,,12170,,541,227,303,142.6617375
I,right,3MM,4,4.12,3,60,10,120,10,50,2,,12086,,315,861,122,929.3333333,,,12583,,415,177,332,145.0120482
J,middle,3MM,4,4.12,4,60,10,120,10,50,2,,11951,,299,976,79,1109.832776,1092.651212,,12826,,356,368,271,351.4606742
K,middle,3MM,4,4.12,4,60,10,120,10,50,2,,12033,,321,978,75,1035.88785,,,12325,,503,121,347,81.78926441
L,middle,3MM,4,4.12,4,60,10,120,10,50,2,,11597,,309,1029,66,1132.23301,,,12125,,327,622,169,646.7278287
M,left,3MM,4,4.12,2,0,10,120,10,50,10,,11455,,320,1277,13,1356.8125,1379.147912,,11043,,312,1191,22,1297.884615
N,left,3MM,4,4.12,2,0,10,120,10,50,10,,11519,,291,1198,16,1399.725086,,,11267,,286,1159,19.6,1377.832168
O,left,3MM,4,4.12,2,0,10,120,10,50,10,,11535,,309,1255,13,1380.906149,,,11242,,308,1210,22,1335.714286
P,none,3MM,4,4.12,1,60,10,120,10,50,10,,12362,,320,906,125,962.625,981.8181439,,13240,,382,308,308,274.1361257
Q,none,3MM,4,4.12,1,60,10,120,10,50,10,,12177,,314,931,97,1008.089172,,,13003,,409,239,342,198.6797066
R,none,3MM,4,4.12,1,60,10,120,10,50,10,,12156,,308,883,121,974.7402597,,,13404,,367,201,330,186.2125341
