Tube,substrate,Volume to add in mL,total liquid volume,Media type,storage headspace,Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,H2,O2,N2,CO,CO2
SYNGAS,,,,,,,,,,,,,,,,
A,602h,4,4.12,1YCM,5.0 Ar,1,10,120,10,,,13627,,413,787,216
B,602h,4,4.12,1YCM,5.0 Ar,1,10,120,10,,,13663.1,,411,863,187
C,602h,4,4.12,1YCM,5.0 Ar,1,10,120,10,,,13728,,430,629,272
D,602h,4,4.12,1YCM,5.0 Ar,2,10,120,10,,,14749,,437,398,365
E,602h,4,4.12,1YCM,5.0 Ar,2,10,120,10,,,13996,,405,496,315
F,602h,4,4.12,1YCM,5.0 Ar,2,10,120,10,,,14175,,419,523,310
G,602h,4,4.12,1YCM,5.0 Ar,3,10,120,10,,,13571,,383.5,735.2,216
H,602h,4,4.12,1YCM,5.0 Ar,3,10,120,10,,,13870,,430,535,304
I,602h,4,4.12,1YCM,5.0 Ar,3,10,120,10,,,13667,,410,542,281
J,602h,4,4.12,1YCM,5.0 Ar,4,10,120,10,,,12298,,344,1168,72
K,602h,4,4.12,1YCM,5.0 Ar,4,10,120,10,,,12262,,342,1094,87
L,602h,4,4.12,1YCM,5.0 Ar,4,10,120,10,,,11878,,343,1223,38
