Tube,substrate,Volume to add in mL,total liquid volume,Media type,drying time,storage headspace,Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,H2,O2,N2,CO,CO2,,,scaled CO,
SYNGAS,,,,,,,,,,,,,,,,,,,,,
A,602h,4,4.12,1YCM,0,n/a,1,10,120,10,50,6/17/2015 13:57:26,13094,,426,661,228,,,527.5586854,438.3213714
B,602h,4,4.12,1YCM,0,n/a,1,10,120,10,50,,13037,,495,459,295,,,315.2727273,
C,602h,4,4.12,1YCM,0,n/a,1,10,120,10,50,,12868,,422,586,231,,,472.1327014,
D,602h,4,4.12,1YCM,60,n/a,1,10,120,10,50,,12822,,347,1248,50,,,1222.824207,952.1296861
E,602h,4,4.12,1YCM,60,n/a,1,10,120,10,50,6/17/2015 20:34:08,13836,,399,828,219,,,705.5639098,
F,602h,4,4.12,1YCM,60,n/a,1,10,120,10,50,,13316,,363,1033,135,,,967.5482094,
G,602h,4,4.12,1YCM,60,n/a,1,10,120,10,50,,13316,,364,977,134,,,912.5824176,
H,602h,4,4.12,1YCM,60,5.0 Ar,1,10,120,10,50,6/23/2015 13:01:46,11676,,351,1089,81,,,1054.871795,1095.03712
I,602h,4,4.12,1YCM,60,5.0 Ar,1,10,120,10,50,,10905,,380,1274,11,,,1139.894737,
J,602h,4,4.12,1YCM,60,5.0 Ar,1,10,120,10,50,,11671,,348,1116,81,,,1090.344828,
K,602h,4,4.12,1YCM,120,5.0 Ar,1,10,120,10,50,,12668,,350,933,159,,,906.3428571,735.4283253
L,602h,4,4.12,1YCM,120,5.0 Ar,1,10,120,10,50,,11497,,450,974,131,,,735.9111111,
M,602h,4,4.12,1YCM,120,5.0 Ar,1,10,120,10,50,,13192,,387,642,231,,,564.0310078,
