Tube,substrate,Volume to add in mL,total liquid volume,Media type,reaction time (h),Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,Treatment after,,,H2,O2,N2,CO,CO2,,Scaled CO,average,,
A,N/A,4,4.2,1YCM,3 (4:22),1,20,200,10,50,N/A,,A,12266,,401,1159,76,,982.6932668,,,
B,N/A,4,4.2,1YCM,3 (4:22),1,20,200,10,50,N/A,,B,12376,,401,1173,65,,994.563591,,,
C,N/A,4,4.2,1YCM,3 (4:22),1,20,200,10,50,N/A,,C,11817,,396,1127,77,,967.6262626,,,
D,3MM,4,4.2,1YCM,3 (4:22),1,20,200,10,50,N/A,,D,13506,,446,685,225,,522.1973094,,,
E,3MM,4,4.2,1YCM,3 (4:22),1,20,200,10,50,N/A,,E,13550,,452,650,208,,488.9380531,,,
F,3MM,4,4.2,1YCM,3 (4:22),1,20,200,10,50,N/A,,F,13397,,444,669,201,,512.2972973,,,
G,3MM,4,4.2,1YCM,3 (4:22),1,20,200,10,50,rock 20X over 1 min,,G,13273,,457,615,238,,457.5492341,,,
H,3MM,4,4.2,1YCM,3 (4:22),1,20,200,10,50,rock 20X over 1 min,,H,12911,,501,605,204,,410.5788423,,,
I,3MM,4,4.2,1YCM,3 (4:22),1,20,200,10,50,rock 20X over 1 min,,I,13080,,420,687,208,,556.1428571,,,
J,3MM,4,4.4,1YCM,1.5 (1:52pm),1,40,400,20,50,rock 20X over 1 min,,J,14159,,480,619,264,,438.4583333,,,
K,3MM,4,4.4,1YCM,1.5 (1:52pm),1,40,400,20,50,rock 20X over 1 min,,K,13799,,472,614,254,,442.2881356,,,
L,3MM,4,4.4,1YCM,1.5 (1:52pm),1,40,400,20,50,rock 20X over 1 min,,L,13633,,495,532,272,,365.4141414,,,
M,3MM,4,4.4,1YCM,3 (4:22),1,10,100,5,50,rock 20X over 1 min,,M,12393,,344,1065,71,,1052.616279,,,
N,3MM,4,4.4,1YCM,3 (4:22),1,10,100,5,50,rock 20X over 1 min,,N,12453,,372,983,114,,898.4408602,,,
O,3MM,4,4.4,1YCM,3 (4:22),1,10,100,5,50,rock 20X over 1 min,,O,12457,,384,933,128,,826.09375,,,
