Tube,substrate,Volume to add in mL,total liquid volume,Media type,reaction time (h),Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,,H2,O2,N2,CO,CO2,,,,
A,3MM,4,4.2,1YCM,0.75 (1230),1,10,200,10,50,,A,12924,,358,1260,41,,,,
B,3MM,4,4.2,1YCM,0.75 (1230),1,10,200,10,50,,B,12862,,348,1271,35,,,,
C,3MM,4,4.2,1YCM,0.75 (1230),1,10,200,10,50,,C,12314,,352,1222,37,,,,
D,N/A,4,4.2,1YCM,0.75 (1230),1,10,200,10,50,,D,12610,,349,1338,19,,,,
E,N/A,4,4.2,1YCM,0.75 (1230),1,10,200,10,50,,E,12170,,342,1296,,,,,
F,N/A,4,4.2,1YCM,0.75 (1230),1,10,200,10,50,,F,12089,,342,1291,,,,,
G,3MM,4,4.2,1YCM,1.5 (115),1,10,200,10,50,,G,12791,,358,1105,95,,,,
H,3MM,4,4.2,1YCM,1.5 (115),1,10,200,10,50,,H,12842,,371,1063,87,,,,
I,3MM,4,4.2,1YCM,1.5 (115),1,10,200,10,50,,I,12684,,355,1084,92,,,,
J,N/A,4,4.2,1YCM,1.5 (115),1,10,200,10,50,,J,12008,,350,1218,40,,,,
K,N/A,4,4.2,1YCM,1.5 (115),1,10,200,10,50,,K,11827,,347,1207,39,,,,
L,N/A,4,4.2,1YCM,1.5 (115),1,10,200,10,50,,L,11816,,351,1208,48,,,,
M,3MM,4,4.2,1YCM,2.25 (2:00),1,10,200,10,50,,M,12832,,383,859,164,,,,
N,3MM,4,4.2,1YCM,2.25 (2:00),1,10,200,10,50,,N,12982,,379,929,123,,,,
O,3MM,4,4.2,1YCM,2.25 (2:00),1,10,200,10,50,,O,12264,,375,938,123,,,,
P,N/A,4,4.2,1YCM,2.25 (2:00),1,10,200,10,50,,P,11798,,365,1170,49,,,,
Q,N/A,4,4.2,1YCM,2.25 (2:00),1,10,200,10,50,,Q,11743,,363,1159,64,,,,
R,N/A,4,4.2,1YCM,2.25 (2:00),1,10,200,10,50,,R,11666,,369,1166,61,,,,
S ,3MM,4,4.2,1YCM,3 (2:45),1,10,200,10,50,,S ,13087,,398,815,183,,,,
T ,3MM,4,4.2,1YCM,3 (2:45),1,10,200,10,50,,T ,13069,,411,771,189,,,,
U,3MM,4,4.2,1YCM,3 (2:45),2,10,200,10,50,,U,13072,,422,771,193,,,,
V,N/A,4,4.2,1YCM,3 (2:45),2,10,200,10,50,,V,11500,,376,1096,73,,,,
W,N/A,4,4.2,1YCM,3 (2:45),2,10,200,10,50,,W,11711,,377,1118,60,,,,
X,N/A,4,4.2,1YCM,3 (2:45),3,10,200,10,50,,X,11538,,390,1103,72,,,,
Y,3MM,4,4.2,1YCM,3.75,3,10,200,10,50,,Y,13063,,463,557,255,,,,
Z,3MM,4,4.2,1YCM,3.75,3,10,200,10,50,,Z,13294,,412,636,229,,,,
AA,3MM,4,4.2,1YCM,3.75,3,10,200,10,50,,AA,12427,,437,603,193,,,,
AB,N/A,4,4.2,1YCM,3.75,3,10,200,10,50,,AB,11729,,412,1086,91,,,,
AC,N/A,4,4.2,1YCM,3.75,3,10,200,10,50,,AC,11681,,409,1087,89,,,,
AD,N/A,4,4.2,1YCM,3.75,3,10,200,10,50,,AD,11688,,417,1094,71,,,,
