Tube,substrate,Volume to add in mL,total liquid volume,Media type,reaction time (min),Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,,H2,O2,N2,CO,CO2,,,,
SYNGAS,,,,,,,,,,,,,,,,,,,,,
A,N/A,4,4.2,1YCM,50 (12:30),1,10,200,10,50,,A,12337,,349.9,1336,22.4,,,,
B,N/A,4,4.2,1YCM,50 (12:30),1,10,200,10,50,,B,12348,,346,1329,24.1,,,,
C,3MM,4,4.2,1YCM,50 (12:30),1,10,200,10,50,,C,12337,,351,1164,61.4,,,,
D,3MM,4,4.2,1YCM,50 (12:30),1,10,200,10,50,,D,12514,,358,1159,66.4,,,,
E,N/A,4,4.2,1YCM,100 (1:20),1,10,200,10,50,,E,11916,,355,1232,43.4,,,,
F,N/A,4,4.2,1YCM,100 (1:20),1,10,200,10,50,,F,12079,,360,1237,47.8,,,,
G,3MM,4,4.2,1YCM,100 (1:20),1,10,200,10,50,,G,12796,,383,973,120.2,,,,
H,3MM,4,4.2,1YCM,100 (1:20),1,10,200,10,50,,H,12368,,415,928,119,,,,
I,N/A,4,4.2,1YCM,150 (2:10),1,10,200,10,50,,I,12011,,384,1195,60.3,,,,
J,N/A,4,4.2,1YCM,150 (2:10),1,10,200,10,50,,J,11969,,379,1173,65,,,,
K,3MM,4,4.2,1YCM,150 (2:10),1,10,200,10,50,,K,13029,,423,675,206,,,,
L,3MM,4,4.2,1YCM,150 (2:10),1,10,200,10,50,,L,13056,,430,701,203,,,,
M,N/A,4,4.2,1YCM,200 (3:00),1,10,200,10,50,,M,11538,,392,1109,68,,,,
N,N/A,4,4.2,1YCM,200 (3:00),1,10,200,10,50,,N,11881,,400,1123,74,,,,
O,3MM,4,4.2,1YCM,200 (3:00),1,10,200,10,50,,O,12480,,463,547,231,,,,
P,3MM,4,4.2,1YCM,200 (3:00),1,10,200,10,50,,P,13306,,466,553,244,,,,
Q,N/A,4,4.2,1YCM,250 (3:50),1,10,200,10,50,,Q,11950,,425,1109,83,,,,
R,N/A,4,4.2,1YCM,250 (3:50),1,10,200,10,50,,R,11814,,421,1087,84,,,,
S ,3MM,4,4.2,1YCM,250 (3:50),1,10,200,10,50,,S ,13411.6,,486,498,259,,,,
T ,3MM,4,4.2,1YCM,250 (3:50),1,10,200,10,50,,T ,12523.8,,587,417.8,261,,,,
U,N/A,4,4.2,1YCM,300 (4:40),1,10,200,10,50,,U,11891,,442,1066,94,,,,
V,N/A,4,4.2,1YCM,300 (4:40),1,10,200,10,50,,V,11888,,439,1054,95,,,,
W,3MM,4,4.2,1YCM,300 (4:40),1,10,200,10,50,,W,13222,,675,75,381,,,,
X,3MM,4,4.2,1YCM,300 (4:40),1,10,200,10,50,,X,13285,,516,397,281,,,,
Y,N/A,4,4.2,1YCM,350 (5:30),1,10,200,10,50,,Y,11683,,448,997,108,,,,
Z,N/A,4,4.2,1YCM,350 (5:30),1,10,200,10,50,,Z,11766,,460,991,102,,,,
AA,3MM,4,4.2,1YCM,350 (5:30),1,10,200,10,50,,AA,13245,,592,107,359,,,,
AB,3MM,4,4.2,1YCM,350 (5:30),1,10,200,10,50,,AB,13595,,606,135,358,,,,
