Tube,substrate,Volume to add in mL,total liquid volume,Media type,gas type,Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,H2,O2,N2,CO,CO2,,scaled CO,
SYNGAS,,,,,,,,,,,,,,,,,,,
A,602h,4,4.12,1YCM,syngas,1,20,120,10,50,,12827,,428,846,187,,672.0560748,
B,602h,4,4.12,1YCM,syngas,1,20,120,10,50,,12084,,516,858,152,,565.3488372,
C,602h,4,4.12,1YCM,syngas,1,20,120,10,50,,,,,,,,#DIV/0!,
D,602h,4,4.24,1YCM,syngas,1,20,240,10,50,,13179,,496,490,305,,335.8870968,
E,602h,4,4.24,1YCM,syngas,1,20,240,10,50,,13161,,442,549,242,,422.3076923,
F,602h,4,4,1YCM,syngas,1,20,,10,50,,,,,,,,#DIV/0!,
G,DW AR 60,4,4.12,1YCM,syngas,1,20,120,10,50,,12217,,411,872,181,,721.3625304,
H,DW AR 60,4,4.12,1YCM,syngas,1,20,120,10,50,,12188,,492,728,195,,503.0894309,
I,DW AR 60,4,4.12,1YCM,syngas,1,20,120,10,50,,12024,,409,887,160,,737.3594132,
J,DW AR 80,4,4.12,1YCM,syngas,1,20,120,10,50,,12321,,358,994,123,,944.0223464,
K,DW AR 80,4,4.12,1YCM,syngas,1,20,120,10,50,,12556,,407,745,210,,622.3587224,
L,DW AR 80,4,4.12,1YCM,syngas,1,20,120,10,50,,12193,,352,1013,112,,978.4659091,
