Tube,Substrate,Volume to Add In,Total Liquid Volume,Formulation,Drying Time,Substrate Size (cm^2),Coating Volume (uL),Coated Surface Area (cm^2),Shaker Speed,,H2,O2,N2,CO,CO2,Scaled CO,N2 Base,,H2,O2,N2,CO,CO2,Scaled CO,N2 Base
,,,,,,,,,,,,,,,,,340,,,,,,,,340
A,602hh,4,4.12,1,0,10,120,10,50,A,12220,,346,1275,5.2,1252.890173,,A,12837,,353,1431,0,1378.300283,
B,602hh,4,4.12,1,0,10,120,10,50,B,12186,,311,1289,0,1409.196141,,,,,,,,,
C,602hh,4,4.12,1,0,10,120,10,50,C,11938,,333,1349,0,1377.357357,,,,,,,,,
D,3MM,4,4.12,1,0,10,120,10,50,D,11896,,322,1317,0,1390.621118,,,,,,,,,
E,3MM,4,4.12,1,0,10,120,10,50,E,11880,,320,1328,0,1411,,,,,,,,,
F,602hh,4,4.12,1,60,10,120,10,50,F,11831,,320,1312,0,1394,,,,,,,,,
G,602hh,4,4.12,1,60,10,120,10,50,G,11698,,326,1300,0,1355.828221,,,,,,,,,
H,602hh,4,4.12,1,60,10,120,10,50,H,11443,,365,1284,10.3,1196.054795,,H,12522,,355,1371,16.7,1313.070423,
I ,3MM,4,4.12,1,60,10,120,10,50,I,11286,,314,1194,0,1292.866242,,,,,,,,,
J,3MM,4,4.12,1,60,10,120,10,50,J,11534,,320,1256,9.3,1334.5,,J,12160,,340,1296,0,1296,
K,3MM,4,4.12,1,60,10,120,10,50,K,11382,,315,1251,0,1350.285714,,,,,,,,,
