Tube,Notch placement (temp column.),substrate,Volume to add in mL,total liquid volume,RH Storage,Formulation,Drying Time,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,,H2,O2,N2,CO,CO2,Scaled CO,N2 Base,H2,O2,N2,CO,CO2,Scaled CO,N2 Base
,,,,,,,,,,,,,,,,,,,,,,,,,,,340
A,No notch,602h,4,4.12,0,1,60 min @ 25inHg,10,120,10,50,,A,13210,0,389,760,203,664.2673522,,13645.5,0,412.7,492.3,296.4,405.5779016,
B,No notch,602h,4,4.12,0,1,60 min @ 25inHg,10,120,10,50,,B,13151,0,368,766,201,707.7173913,,13450.3,0,414.9,545.9,278.1,447.351169,
C,No notch,602h,4,4.12,11,1,60 min @ 25inHg,10,120,10,50,,C,12869,0,372,784,185,716.5591398,,13223,0,403.4,482.1,287.9,406.3311849,
D,No notch,602h,4,4.12,11,1,60 min @ 25inHg,10,120,10,50,,D,12599,0,345,934,137,920.4637681,,13213.2,0,375.2,623.7,222.4,565.1865672,
E,No notch,602h,4,4.12,29,1,60 min @ 25inHg,10,120,10,50,,E,13006,0,367,751,198,695.7493188,,13505.8,0,408.8,426.4,310.2,354.6379648,
F,No notch,602h,4,4.12,29,1,60 min @ 25inHg,10,120,10,50,,F,12836,0,343,800,169,793.0029155,,13708.7,0,387.8,422.3,299.2,370.2475503,
G,LN,602h,4,4.12,0,2,60 min @ 25inHg,10,120,10,50,,G,12011,0,335,1054,75,1069.731343,,12378.3,0,333.7,954.8,114.6,972.8258915,
H,LN,602h,4,4.12,11,2,60 min @ 25inHg,10,120,10,50,,H,11761,0,377,920,104,829.7082228,,12176.6,0,409.4,751.9,164.8,624.4406448,
I,LN,602h,4,4.12,29,2,60 min @ 25inHg,10,120,10,50,,I,11636,0,328,1120,60,1160.97561,,11857.7,0,332.6,1023.8,83.2,1046.578473,
J,LN,602h,4,4.12,29,2,60 min @ 25inHg,10,120,10,50,,J,11975,0,325,1057,83,1105.784615,,11857.7,0,332.6,1023.8,83.2,1046.578473,
K,RN,602h,4,4.12,0,3,60 min @ 25inHg,10,120,10,50,,K,11348,0,310,1228,0,1346.83871,,11361.1,0,304.9,1207.3,0,1346.284028,
L,RN,602h,4,4.12,0,3,60 min @ 25inHg,10,120,10,50,,L,11261,0,317,1220,0,1308.51735,,11369.1,0,305.4,1187.1,0,1321.591356,
M,RN,602h,4,4.12,11,3,60 min @ 25inHg,10,120,10,50,,M,10978,0,314,1217,0,1317.770701,,11016.6,0,303.6,1196.3,0,1339.729908,
N,RN,602h,4,4.12,11,3,60 min @ 25inHg,10,120,10,50,,N,11328,0,304,1228,0,1373.421053,,11351,0,299,1209.1,0,1374.896321,
O,RN,602h,4,4.12,29,3,60 min @ 25inHg,10,120,10,50,,O,11086,0,307,1198,0,1326.775244,,11360.9,0,305.6,1206.5,0,1342.310209,
P,RN,602h,4,4.12,29,3,60 min @ 25inHg,10,120,10,50,,P,11214,0,311,1229,0,1343.601286,,11389.7,0,308.3,1216.9,0,1342.024003,
