Sample #,Tube,Formulation,Drying Condition ,Temperature Storage,Flushing Location,,,H2,O2,N2,CO,CO2,Scaled CO,,AVG,H2,O2,N2,CO,CO2,Scaled CO,,AVG
,,,,,(all by door),,Syinge Used,,,,,,,,,,,,,,,,
1,A,1,Convective,25: Chamber,A,do these first,A,14121,,395,651,268,560.3544304,,578.3437367,,,,,,,,
2,B,1,Convective,25: Chamber,B,do these first,B,14411,,405,502,315,421.4320988,,,,,,,,,,
3,C,1,Convective,25: Chamber,C,do these first,C -- F,13292,3.9,376,833,194,753.2446809,,,12914,,350,742,210,,,
4,D,1,Convective,20: Under bench,D,do these first,D,13596,,382,716,239,637.2774869,,453.443295,,,,,,,,
5,E,1,Convective,20: Under bench,E,do these first,E,14298,,417,352,354,287.0023981,,,,,,,,,,
6,F,1,Convective,20: Under bench,F,do these first,F,13810,,400,513,296,436.05,,,,,,,,,,
7,G,1,Convective,4 Beer Cooler,G,do these first,G,13601,,494,306,311,210.6072874,,85.24109648,,,,,,,,
8,H,1,Convective,4 Beer Cooler,H,do these first,I -- F,12239,29,709,42,499,20.14104372,,,12640,,647,36,426,,,
9,I,1,Convective,4 Beer Cooler,I,do these first,I -- J,13591,8.3,599,44,423,24.97495826,,,11512,,565,25,377,,,
10,J,1,Convective,37 Shaker,K,do these first,J -- B,11883,6.7,352,1083,70,1046.079545,,1154.331052,11764,,316,1089,74,,,
11,K,1,Convective,37 Shaker,L,do these first,K,11701,,334,1135,55,1155.389222,,,,,,,,,,
12,L,1,Convective,37 Shaker,M,do these first,L,11623,,328,1217,30,1261.52439,,,,,,,,,,
13,M,2,Convective,20: Under bench,Under Hood,do these first,A,12752,,354,810,159,777.9661017,,789.0987713,,,,,,,,
14,N,2,Convective,20: Under bench,Under Hood,do these first,B,12632,,360,799,163,754.6111111,,,,,,,,,,
15,O,2,Convective,20: Under bench,Under Hood,do these first,C,12470,,356,874,153,834.7191011,,,,,,,,,,
16,P,1,Vacuum 25 in HG for 90min,25 Chamber,A,while first set is drying,D,12550,,346,880,149,864.7398844,,867.4139321,,,,,,,,
17,Q,1,Vacuum 25 in HG for 90min,25 Chamber,B,while first set is drying,E,12391,,322,841,146,888.0124224,,,,,,,,,,
18,R,1,Vacuum 25 in HG for 90min,25 Chamber,C,while first set is drying,F,12513,,333,832,139,849.4894895,,,,,,,,,,
