Sample #,Tube,Formulation pH,Argon flush time at 20psi (min),flushing order,Flushing station,,H2,O2,N2,CO,CO2,Scaled CO,,AVG,N2 Base,,H2,O2,N2,CO,CO2,Scaled CO
,,,,,,,,,,,,,,,340,,,,,,,
1,A,low,5,1,Under hood,,12040,,318,1301,12,1391.006289,,,,,,,,,,
2,B,low,5,1,Under hood,,11920,,318,1288,20,1377.106918,,,,,,,,,,
3,C,low,5,1,Under hood,,11621,,319,1285,15,1369.592476,,,,,,,,,,
4,D,low,15,2,Under hood,,11807,,316,1236,21,1329.873418,,,,,,,,,,
5,E,low,15,2,Under hood,,11352,18,415,1122,57,919.2289157,,,,,12040,,318,1302,12,1392.075472
6,F,low,15,2,Under hood,,11732,,312,1214,30,1322.948718,,,,,,,,,,
7,G,low,25,1,By door,,12101,,325,1015,89,1061.846154,,,,,,,,,,
8,H,low,25,1,By door,,11961,,412,885,128,730.3398058,,,,,,,,,,
9,I,low,25,1,By door,,12310,,339,836,139,838.4660767,,,,,,,,,,
10,J,medium,25,1,By door,,12454,,337,809,145,816.2017804,,,,,,,,,,
11,K,medium,25,1,By door,,13211,,379,410,274,367.8100264,,,,,,,,,,
12,L,medium,25,1,By door,,12367,,354,702,197,674.2372881,,,,,,,,,,
13,M,high,25,1,By door,,12341,,329,837,138,864.9848024,,,,,,,,,,
14,N,high,25,1,By door,,12234,,330,875,130,901.5151515,,,,,,,,,,
15,O,high,25,1,By door,,13051,,395,337,320,290.0759494,,,,,,,,,,
16,P,low,35,2,By door,,11994,,319,870,137,927.2727273,,,,,,,,,,
17,Q,low,35,2,By door,,10416,30,497,937,111,641.0060362,,,,,11815,,315,921,106,994.0952381
18,R,low,35,2,By door,,11824,,314,1050,70,1136.942675,,,,,,,,,,
19,S,low,45,3,Under hood,,11639,,310,1032,70,1131.870968,,,,,,,,,,
20,T,low,45,3,Under hood,,11389,,349,1019,73,992.722063,,,,,,,,,,
21,U,low,45,3,Under hood,,11232,,308,1193,34,1316.948052,,,,,,,,,,
