Sample,Tube,Formulation,Storage Temperature,Flushing Location,,,H2,O2,N2,CO,CO2,Scaled CO,,AVG,observations
,,,,,,Syinge Used,,,,,,,,,
1,A,1,4,A,,A,13621,,373,888,183,809.4369973,No NaOH,821.9547812,
2,B,1,4,B,,B,13558,,374,816,182,741.8181818,,,least crinkled of set
3,C,1,4,C,,C,12905,,371,998,135,914.6091644,,,
4,D,2,4,D,,D,13088,,365,930,137,866.3013699,0.1 NaOH,605.2909328,no discernable difference in these three
5,E,2,4,E,,E,13774,,405,540,283,453.3333333,,,
6,F,2,4,F,,F,13246,,420,613,246,496.2380952,,,
7,G,3,4,G,,G,12834,,358,921,133,874.6927374,0.2 NaOH,643.9174218,
8,H,3,4,H,,H,13027,,382,735,207,654.1884817,,,
9,I,3,4,I,,I,13441,,411,487,255,402.8710462,,,least crinkled
10,J,4,4,K,,J,12131,,343,1333,80,1321.341108,0.4 NaOH,1303.33964,
11,K,4,4,L,,K,11648,,346,1294,9,1271.560694,,,
12,L,4,4,M,,L,11698,,333,1290,0,1317.117117,,,
13,M,5,4,N,,A,12550,,354,1023,97,982.5423729,0.02 g Treahlose,953.0029842,
14,N,5,4,O,,B,12485,,356,1010,104,964.6067416,,,
15,O,5,4,A,,C,12202,,371,995,113,911.8598383,,,
16,P,6,4,B,,D,12056,,338,1007,97,1012.95858,0.05 g Trehalose,854.665408,middle
17,Q,6,4,C,,E,12300,,343,1006,111,997.2011662,,,least
18,R,6,4,D,,F,11253,14.5,477,777,283,553.836478,,,most crinkled
19,S,7,4,E,,G,11643,,327,1245,36,1294.495413,0.1 g Trehalose,1270.466516,
20,T,7,4,F,,H,11583,,345,1233,45,1215.130435,,,
21,U,7,4,G,,I,11567,,327,1252,25,1301.7737,,,
