Sample #,Tube,Formulation,Storage humidity,,Flushing Location,,,H2,O2,N2,CO,CO2,Scaled CO,,AVG,H2,O2,N2,CO,CO2,Scaled CO,,AVG
,,,,,,,Syinge Used,,,,,,,,,,,,,,,,
1,A,1, drierite 0,,A,,,12983,,349,1184,89,1153.467049,,,,,,,,,,
2,B,1, drierite 0,,B,,,12998,,349,1100,110,1071.633238,,,,,,,,,,
3,C,1, drierite 0,,C,,,12370,4,348,1082,87,1057.126437,,,,,,,,,,
4,D,1, drierite 0,,Under Hood,,,12775,,345,1027,120,1012.115942,,,,,,,,,,
5,E,1, CaCl 33,,D,,,12749,,341,974,119,971.143695,,,,,,,,,,
6,F,1, CaCl 33,,E,,,12458,,334,1073,87,1092.275449,,,,,,,,,,
7,G,1, CaCl 33,,F,,,12322,,338,1064,97,1070.295858,,,,,,,,,,
8,H,1, CaCl 33,,Under Hood,,,12053,12,384,1008,106,892.5,,,,,,,,,,
9,I,1, NaCl 78,,G,,,11465,,325,1276,14,1334.892308,,,,,,,,,,
10,J,1, NaCl 78,,H,,,11552,8.6,345,1284,22,1265.391304,,,,,,,,,,
11,K,1, NaCl 78,,I,,,11477,,315,1263,16,1363.238095,,,,,,,,,,
12,L,1, NaCl 78,,Under Hood,,,11400,,310,1258,14,1379.741935,,,,,,,,,,
13,M,1,uncontrolled,,K,,,12062,,324,1034,86,1085.061728,,,,,,,,,,
14,N,1,uncontrolled,,L,,,12385,,332,940,130,962.6506024,,,,,,,,,,
15,O,1,uncontrolled,,M,,,11449,,316,1195,34,1285.759494,,,,,,,,,,
16,P,1,uncontrolled,,Under Hood,,,12445,,340,895,130,895,,,,,,,,,,
