Sample,Tube,Formulation,Storage Temperature,Flushing Location,,,H2,O2,N2,CO,CO2,Scaled CO,,AVG,observations,,scaling factor
,,,,,,Syinge Used,,,,,,,,,,,340
1,A,1,4,A,,A,15171,,421,1200,134,969.1211401,,,,,
2,B,1,4,B,,B,14573,,414,1160,118,952.6570048,,,,,
3,C,1,4,C,,C,14315,13,440,1044,163,806.7272727,,,,,
4,D,1,4,Hood 2,,D,14560,,418,827,215,672.6794258,,,,,
5,E,2,4,D,,E,13353,,396,1026,130,880.9090909,,,,,
6,F,2,4,E,,F,13757,17,445,910,162,695.2808989,,,,,
7,G,2,4,F,,G,13498,3,390,917,167,799.4358974,,,,,
8,H,2,4,Hood 3,,H,12897,28,458,840,164,623.580786,,,,,
9,I,3,4,G,,I,12625,12,376,1163,83,1051.648936,,,,,
10,J,3,4,H,,J,13010,,383,1033,121,917.0234987,,,,,
11,K,3,4,I,,K,12436,,374,1074,81,976.3636364,,,,,
12,L,3,4,Hood 4,,L,12216,7,353,1117,71,1075.864023,,,,,
13,M,4,4,J,,A,12051,3,335,1175,59,1192.537313,,,,,
14,N,4,4,K,,B,12000,,338,1159,53,1165.857988,,,,,
15,O,4,4,L,,C,11680,,360,1179,135,1113.5,,,,,
16,P,4,4,Hood 5,,D,11706,,330,1223,92,1260.060606,,,,,
17,Q,5,4,M,,E,11587,,326,1225,28,1277.607362,,,,,
18,R,5,4,N,,F,11270,7.4,348,1266,31,1236.896552,,,,,
19,S,5,4,O,,G,11598,3,323,1178,52,1240,,,,,
20,T,5,4,Hood 6,,H,11244,6,335,1192,40,1209.791045,,,,,
