Sample,Tube,Storage Temperature,Flushing Location,Time Sampled,Elapsed Time,,H2,O2,N2,CO,CO2,Scaled CO,time,AVG,observations,,scaling factor,,,,,,,,
,,,,,,Syinge Used,,,,,,,,,,,340,,,,,,,,
1,A,4,A,10:15 AM,,A,14378,,541,206,404,,,,,,,,,,,,,,
2,B,4,B,,,B,13840,,518,321,352,,,,,,,,,,,,,,
3,C,4,C,,,C,13629,,420,499,269,,,,,,,,,,,,,,
4,D,4,D,,,D,,,,,,,,,,,,,,,,,,,
5,E,4,E,,,E,,,,,,,,,,,,,,,,,,,
6,F,4,F,,,F,,,,,,,,,,,,,,,,,,,
7,G,4,G,,,G,,,,,,,,,,,,,,,,,,,
8,H,4,H,,,H,,,,,,,,,,,,,,,,,,,
9,I,4,I,,,I,,,,,,,,,,,,,,,,,,,
10,J,4,J,,,J,,,,,,,,,,,,,,,,,,,
11,K,4,K,,,K,,,,,,,,,,,,,,,,,,,
12,L,4,L,,,L,,,,,,,,,,,,,,,,,,,
13,M,4,M,,,A,,,,,,,,,,,,,,,,,,,
14,N,4,N,,,B,,,,,,,,,,,,,,,,,,,
15,O,4,O,,,C,,,,,,,,,,,,,,,,,,,
16,P,4,Hood 1,,,D,,,,,,,,,,,,,,,,,,,
17,Q,4,Hood 2,,,E,,,,,,,,,,,,,,,,,,,
18,R,4,Hood 3,,,F,,,,,,,,,,,,,,,,,,,
19,S,4,Hood 4,,,G,,,,,,,,,,,,,,,,,,,
20,T,4,Hood 5,,,H,,,,,,,,,,,,,,,,,,,
21,U,4,Hood 6,,,I,,,,,,,,,,,,,,,,,,,
