Sample,Tube,Storage Temperature,Flushing Location,Time Sampled,Elapsed Time,,H2,O2,N2,CO,CO2,Scaled CO,time,AVG,observations,,scaling factor,,,,,,,,
,,,,,,Syinge Used,,,,,,,,,,,340,,,,,,,,
1,A,4,A,3:00 PM,3 hrs,A,12608,,347,1292,48,,3:05 PM,,,,,,,,,,,,
2,B,4,B,3:00 PM,3 hrs,B,12400,,345,1247,53,,,,,,,,,,,,,,
3,C,4,C,3:00 PM,3 hrs,C,11950,2.5,340,1207,38,,,,,,,,,,,,,,
4,D,4,D,8:40 PM,8 hrs 40 min,D,13200,,366,1060,148,,840pm,,,,,,,,,,,,
5,E,4,E,8:40 PM,8 hrs 40 min,E,13058,,359,1080,111,,,,,,,,,,,,,,
6,F,4,F,8:40 PM,8 hrs 40 min,F,12541,,367,1172,71,,,,,,,,,,,,,,
7,G,4,G,3:30 AM,15 hrs 30 min,G,13318,,372,905,159,,320am,,,,,,,,,,,,
8,H,4,H,3:30 AM,15 hrs 30 min,H,13546,,413,722,229,,,,,,,,,,,,,,
9,I,4,I,3:30 AM,15 hrs 30 min,I,13284,,374,753,187,,,,,,,,,,,,,,
10,J,4,J,6:00 AM,18 hrs,J,14200,,400,614,276,,555am,,,,,,,,,,,,
11,K,4,K,6:00 AM,18 hrs,K,13076,,366,922,165,,,,,,,,,,,,,,
12,L,4,L,6:00 AM,18 hrs,L,13018,,368,824,179,,,,,,,,,,,,,,
13,M,4,M,8:00 AM,20 hrs,A,13739,,403,748,216,,805am,,,,,,,,,,,,
14,N,4,N,8:00 AM,20 hrs,B,13558,,411,704,217,,,,,,,,,,,,,,
15,O,4,O,8:00 AM,20 hrs,C,13689,,396,594,245,,,,,,,,,,,,,,
16,P,4,Hood 1,10:00 AM,22 hrs,D,14226,,392,637,274,,950am,,,,,,,,,,,,
17,Q,4,Hood 2,10:00 AM,22 hrs,E,14380,,439,384,350,,,,,,,,,,,,,,
18,R,4,Hood 3,10:00 AM,22 hrs,F,13305,,395,778,218,,,,,,,,,,,,,,
19,S,4,Hood 4,,,G,14317.5,,424.4,469.8,345.9,,1245pm,,,,,,,,,,,,
20,T,4,Hood 5,,,H,14114,,413,515,312,,,,,,,,,,,,,,
21,U,4,Hood 6,,,I,13341,,400,658,232,,,,,,,,,,,,,,
