Tube,Notch placement (temp column.),substrate,Volume to add in mL,total liquid volume,Total Reducing agent added,Drying Time,Storage,Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,,H2,O2,N2,CO,CO2,Scaled CO,N2 Base,Average,H2,O2,N2,CO,CO2,Scaled CO,N2 Base,Average,,,,,,,,,,
purpose: to see why we are getting slower uptake of CO than previously comparing different growth media and 1YCM to see if salt solution messed everything up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,No notch,602h,4,4.12,2,20 min @ 25in Hg,11,1,10,120,10,50,,A,12299,0,582,552,236,322.4742268,,,14110.2,0,533.5,3.1,466.4,1.975632615,,,,,,,,,,,,
B,No notch,602h,4,4.12,2,20 min @ 25in Hg,29,1,10,120,10,50,,B,12885,0,352,1046,122,1010.340909,,,13791.1,0,379.3,555.3,300.6,497.7643027,,,,,,,,,,,,
C,No notch,602h,4,4.12,2,60 min @ 25in Hg,11,1,10,120,10,50,,C,-,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,,,,,
D,No notch,602h,4,4.12,2,60 min @ 25in Hg,29,1,10,120,10,50,,D,12998,0,368,946,154,874.0217391,,,14329.8,0,453.3,121.8,454.4,91.35671741,,,,,,,,,,,,
E,No notch,602h,4,4.12,2,120 min @ 25in Hg,0,1,10,120,10,50,,E,12804,0,363,1041,100,975.0413223,,,13742.6,0,378,474,323,426.3492063,,,,,,,,,,,,
F,No notch,602h,4,4.12,2,120 min @ 25in Hg,0,1,10,120,10,50,,F,13046,0,358,905,162,859.4972067,,,13715,0,401,414,339,351.0224439,,,,,,,,,,,,
G,LN,602h,4,4.12,4,20 min @ 25in Hg,29,2,10,120,10,50,,G,12334,0,363,1046,100,979.7245179,,,12988,0,361,668,228,629.1412742,,,,,,,,,,,,
H,LN,602h,4,4.12,4,60 min @ 25in Hg,0,2,10,120,10,50,,H,11951,0,418,997,110,810.9569378,,,12366,0,434,633,235,495.8986175,,,,,,,,,,,,
I,LN,602h,4,4.12,4,120 min @ 25in Hg,11,2,10,120,10,50,,I,12987,0,389,690,211,603.0848329,,,12534,0,433,614,238,482.1247113,,,,,,,,,,,,
J,LN,602h,4,4.12,4,120 min @ 25in Hg,29,2,10,120,10,50,,J,13760,0,394,452,303,390.0507614,,,13066,0,569,0,446,0,,,,,,,,,,,,
K,RN,602h,4,4.12,6,20 min @ 25in Hg,0,3,10,120,10,50,,K,12180,0,331,1064,91,1092.930514,,,12244,0,343,951,130,942.6822157,,,,,,,,,,,,
L,RN,602h,4,4.12,6,20 min @ 25in Hg,0,3,10,120,10,50,,L,12750,0,363,828,161,775.5371901,,,13011,0,441,432,295,333.0612245,,,,,,,,,,,,
M,RN,602h,4,4.12,6,60 min @ 25in Hg,29,3,10,120,10,50,,M,11988,0,367,975,119,903.2697548,,,12090,0,372,698,201,637.9569892,,,,,,,,,,,,
N,RN,602h,4,4.12,6,120 min @ 25in Hg,11,3,10,120,10,50,,N,12665,0,345,981,106,966.7826087,,,12810,0,347,753,195,737.8097983,,,,,,,,,,,,
O,RN,602h,4,4.12,6,120 min @ 25in Hg,29,3,10,120,10,50,,O,11475.4,0,361.5,1004.7,93.7,944.9460581,,,12619,0,358,781,195,741.7318436,,,,,,,,,,,,
