Tube,Notch placement (temp column.),substrate,Volume to add in mL,total liquid volume,Reducing Agent Added,RH Storage,Formulation,Drying Time,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,,H2,O2,N2,CO,CO2,Scaled CO,N2 Base,Sampling 2,H2,O2,N2,CO,CO2,Scaled CO,N2 Base,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,11/4/2015,,,,,,,340,,,,,,,,,,,
A,No notch,602h,4,4.12,0.5ml CYS (rinse),0,1,60 min @ 25inHg,10,120,10,50,,A,13273,0,377,1088,112,981.2201592,,,14299.9,0,407.2,620.1,283.3,517.7652259,,,,,,,,,,,,
B,No notch,602h,4,4.12,0.5ml CYS (rinse),0,1,60 min @ 25inHg,10,120,10,50,,B,13971,0,379,830,192,744.591029,,,14928.8,0,481,311.9,372.8,220.4698545,,,,,,,,,,,,
C,No notch,602h,4,4.12,0.5ml CYS (rinse),11,1,60 min @ 25inHg,10,120,10,50,,C,12951,0,393,1018,117,880.7124682,,,13621.3,0,396.5,715.3,229.2,613.372005,,,,,,,,,,,,
D,No notch,602h,4,4.12,0.5ml CYS (rinse),29,1,60 min @ 25inHg,10,120,10,50,,D,13457,0,369,866,175,797.9403794,,,14639.9,0,476,151.2,430.4,108,,,,,,,,,,,,
E,No notch,602h,4,4.12,0.5ml CYS (rinse),29,1,60 min @ 25inHg,10,120,10,50,,E,13553,0,374,834,180,758.1818182,,,13770.5,0,530.8,377.4,323.9,241.7407687,,,,,,,,,,,,
F,LN,602h,4,4.12,1mL CYS,0,2,60 min @ 25inHg,10,120,10,50,,F,13254,0,358,857,161,813.9106145,,,13676.3,0,403.5,587.1,253.6,494.7063197,,,,,,,,,,,,
G,LN,602h,4,4.12,1mL CYS,11,2,60 min @ 25inHg,10,120,10,50,,G,13062,0,363,869,162,813.9393939,,,13685.3,0,415.8,547.2,279.4,447.4458874,,,,,,,,,,,,
H,LN,602h,4,4.12,1mL CYS,29,2,60 min @ 25inHg,10,120,10,50,,H,12771,0,462,772,176,568.1385281,,,13288,0,511.4,472.4,247.8,314.0711772,,,,,,,,,,,,
I,RN,602h,4,4.12,1mL CYS Na2S,0,3,60 min @ 25inHg,10,120,10,50,,I,12469,0,359,1019,104,965.0696379,,,12823.7,0,380.5,872.9,166.3,779.9894875,,,,,,,,,,,,
J,RN,602h,4,4.12,1mL CYS Na2S,11,3,60 min @ 25inHg,10,120,10,50,,J,12927,0,359,863,161,817.3259053,,,12022.7,0,582.1,545.6,238.7,318.6806391,,,,,,,,,,,,
K,RN,602h,4,4.12,1mL CYS Na2S,29,3,60 min @ 25inHg,10,120,10,50,,K,12285,0,329,1040,68,1074.772036,,,12512.2,0,348,899.4,131.7,878.7241379,,,,,,,,,,,,
L,MN,602h,4,4.12,2mL CYS Na2S,0,4,60 min @ 25inHg,10,120,10,50,,L,12011,0,337,1167,46,1177.388724,,,1202.1,0,342.3,1143.5,58,1135.816535,,,,,,,,,,,,
M,MN,602h,4,4.12,2mL CYS Na2S,11,4,60 min @ 25inHg,10,120,10,50,,M,11816,0,330,1139,30,1173.515152,,,11471.1,0,386.8,1081.4,42.4,950.5584281,,,,,,,,,,,,
N,MN,602h,4,4.12,2mL CYS Na2S,29,4,60 min @ 25inHg,10,120,10,50,,N,12089,0,327,1214,38,1262.262997,,,121708,0,329.5,1189.3,47.9,1227.198786,,,,,,,,,,,,
O,MN,602h,4,4.12,2mL CYS Na2S,29,4,60 min @ 25inHg,10,120,10,50,,O,11836,0,353,1135,49,1093.201133,,,12240.8,0,337.3,1088.3,71.2,1097.011562,,,,,,,,,,,,
