Tube,Notch placement (temp column.),substrate,Volume to add in mL,total liquid volume,RH Storage,Formulation,Substrate,Drying Time,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,H2,O2,N2,CO,CO2,Scaled CO,N2 Base,H2,O2,N2,CO,CO2,Scaled CO,N2 Base,
,,,,,,,,,,,,,,,,,,,,340,,,,,,,340,
A,No notch,3MM,4,4.2,11,2,3MM,15,10,200,10,50,A,12429,,355,1317,0,1261.352113,,12561,0,348.1,1302.9,41.1,1272.582591,,
B,No notch,3MM,4,4.2,11,2,3MM,15,10,200,10,50,B,12269,,313,1190,31,1292.651757,,12686.8,0,324.6,1149.3,53.4,1203.826248,,
C,No notch,602hh,4,4.12,11,1,602hh,15,10,120,10,50,C,13177,,392,729,223,632.2959184,,12638.7,0,662.9,176.2,410.5,90.37260522,,
D,No notch,602hh,4,4.12,11,1,602hh,15,10,120,10,50,D,12992,,357,1013,113,964.7619048,,13737.1,0,394.6,715,280.5,616.0669032,,
E,LN,3MM,4,4.12,11,2,3MM,30,10,200,10,50,E,13202,,347,764,176,748.5878963,,13417.7,0,461,428.1,287.7,315.7353579,,
F,LN,3MM,4,4.12,11,2,3MM,30,10,200,10,50,F,13226,,353,730,191,703.1161473,,14258.2,0,385.1,380.2,315.6,335.6738509,,
G,LN,602hh,4,4.12,11,1,602hh,30,10,120,10,50,G,12920,,371,815,189,746.9002695,,13513.9,0,416.8,694.1,277.4,566.2044146,,
H,LN,602hh,4,4.12,11,1,602hh,30,10,120,10,50,H,11794,,463,979,108,718.9200864,,12546.6,0,533.1,702.9,183.7,448.294879,,
I,RN,3MM,4,4.12,11,2,3MM,60,10,200,10,50,I,13298,,387,610,242,535.9173127,,13195.4,0,614.5,210.3,386,116.3580146,,
J,RN,3MM,4,4.12,11,2,3MM,60,10,200,10,50,J,13138,,345,725,186,714.4927536,,13793.1,0,382,579.3,305.3,515.6073298,,
K,Rn,602hh,4,4.12,11,1,602hh,60,10,120,10,50,K,12740,,353,847,167,815.8073654,,13848.7,0,428.6,411.8,384.7,326.6728885,,
L,Rn,602hh,4,4.12,11,1,602hh,60,10,120,10,50,L,12364,,347,1018,111,997.4639769,,13412.3,0,386.8,707.7,306.6,622.073423,,
M,MN,3MM,4,4.2,11,2,3MM,90,10,200,10,50,M,12712,,362,629,200,590.7734807,,13308.6,0,484.7,259.2,296.5,181.8196823,,
N,MN,3MM,4,4.2,11,2,3MM,90,10,200,10,50,N,13152,,357,654,219,622.8571429,,14381.2,0,438.1,218.3,458.3,169.4179411,,
O,MN,602hh,4,4.12,11,1,602hh,90,10,120,10,50,O,12424,,342,978,107,972.2807018,,13369.1,0,380.9,697.5,286.6,622.6043581,,
P,MN,602hh,4,4.12,11,1,602hh,90,10,120,10,50,P,12121,,334,934,121,950.7784431,,13191.7,0,441.1,657.4,322.1,506.7240988,,
