Tube,Notch placement (temp column.),substrate,Volume to add in mL,total liquid volume,RH Storage,Formulation,Substrate,Drying Time,Rehydration Media,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,H2,O2,N2,CO,CO2,Scaled CO,N2 Base,,,,,,,,
,,,,,,,,,,,,,,Sampled on 12/9,,,,,,,340,,,,,,,,
A,No notch,3MM,4,4.12,11,1,3MM,0,50mL 1YCM 2mL CYS PCG 10/29/15,10,120,10,50,at 9am,,,,,,,,,,,,,,,
B,No notch,3MM,4,4.12,11,1,3MM,0,50mL 2YCM with 2mL CYS in 0.1NaOH PCG 10/29/15,10,120,10,50,,12558.2,0,342.8,1272.2,48.1,1261.808635,,,,,,,,,
C,No notch,602hh,4,4.12,11,1,602hh,0,50mL 1YCM 2mL CYS PCG 10/29/16,10,120,10,50,,12298.7,0,347.9,1265.1,47.9,1236.372521,,,,,,,,,
D,No notch,602hh,4,4.12,11,1,602hh,0,50mL 2YCM with 2mL CYS in 0.1NaOH PCG 10/29/16,10,120,10,50,,12619.8,0,348.3,1191.6,69.4,1163.204134,,,,,,,,,
E,LN,3MM,4,4.12,11,1,3MM,15,50mL 1YCM 2mL CYS PCG 10/29/16,10,120,10,50,,11278.6,0,789.6,0,351.9,0,,,,,,,,,
F,LN,3MM,4,4.12,11,1,3MM,15,50mL 2YCM with 2mL CYS in 0.1NaOH PCG 10/29/16,10,120,10,50,,14301.9,0,531.8,0,497.7,0,,,,,,,,,
G,LN,602hh,4,4.12,11,1,602hh,15,50mL 1YCM 2mL CYS PCG 10/29/17,10,120,10,50,,13366.3,0,593.3,11.1,512.3,6.361031519,,,,,,,,,
H,LN,602hh,4,4.12,11,1,602hh,15,50mL 2YCM with 2mL CYS in 0.1NaOH PCG 10/29/17,10,120,10,50,,12154.2,0,670.3,223.9,379.7,113.5700433,,,,,,,,,
I,RN,3MM,4,4.12,11,1,3MM,30,50mL 1YCM 2mL CYS PCG 10/29/17,10,120,10,50,,12750.5,0,369.1,381.5,279.6,351.4223788,,,,,,,,,
J,RN,3MM,4,4.12,11,1,3MM,30,50mL 2YCM with 2mL CYS in 0.1NaOH PCG 10/29/17,10,120,10,50,,12770.4,0,461.2,116.2,328.3,85.66348656,,,,,,,,,
K,Rn,602hh,4,4.12,11,1,602hh,30,50mL 1YCM 2mL CYS PCG 10/29/18,10,120,10,50,,12795.4,0,358.5,715.3,224.2,678.3877266,,,,,,,,,
L,Rn,602hh,4,4.12,11,1,602hh,30,50mL 2YCM with 2mL CYS in 0.1NaOH PCG 10/29/18,10,120,10,50,,12584.2,0,610.9,0,508.7,0,,,,,,,,,
M,MN,3MM,4,4.12,11,1,3MM,60,50mL 1YCM 2mL CYS PCG 10/29/18,10,120,10,50,,13854.8,0,414.1,291.1,427,239.009901,,,,,,,,,
N,MN,3MM,4,4.12,11,1,3MM,60,50mL 2YCM with 2mL CYS in 0.1NaOH PCG 10/29/18,10,120,10,50,,12324.6,0,583.4,6.3,361.7,3.671580391,,,,,,,,,
O,MN,602hh,4,4.12,11,1,602hh,60,50mL 1YCM 2mL CYS PCG 10/29/19,10,120,10,50,,12315.3,0,539.6,427.6,351.5,269.4292068,,,,,,,,,
P,MN,602hh,4,4.12,11,1,602hh,60,50mL 2YCM with 2mL CYS in 0.1NaOH PCG 10/29/19,10,120,10,50,,13637.5,0,525.4,0,524.1,0,,,,,,,,,
Q,LN&MN,3MM,4,4.12,11,1,3MM,90,50mL 1YCM 2mL CYS PCG 10/29/19,10,120,10,50,,14021.8,0,402,329,321.2,278.2587065,,,,,,,,,
R,LN&MN,3MM,4,4.12,11,1,3MM,90,50mL 2YCM with 2mL CYS in 0.1NaOH PCG 10/29/19,10,120,10,50,,11432.7,0,647.7,17.3,423.5,9.081364829,,,,,,,,,
S,LN&MN,602hh,4,4.12,11,1,602hh,90,50mL 1YCM 2mL CYS PCG 10/29/20,10,120,10,50,,12428.8,0,594,264.3,400.9,151.2828283,,,,,,,,,
T,LN&MN,602hh,4,4.12,11,1,602hh,90,50mL 2YCM with 2mL CYS in 0.1NaOH PCG 10/29/20,10,120,10,50,,12844,0,501.2,346.2,398.8,234.8523543,,,,,,,,,
