Tube,substrate,Volume to add in mL,total liquid volume,Media type,storage,Drying Time,Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,H2,O2,N2,CO,CO2,,,,,,
SYNGAS,,,,,,,,,,,,,,,,,,,,,,,
A,3MM,4,4.2,1YCM,5.0 Ar/LiCl,N/A,1,10,200,10,50,,13721.1,0,407.8,1367.4,39.1,,,,,,
B,3MM,4,4.2,1YCM,5.0 Ar/LiCl,N/A,1,10,200,10,50,,12111.7,0,325.1,1270.5,20.5,,,,,,
C,3MM,4,4.2,1YCM,5.0 Ar/LiCl,N/A,1,10,200,10,50,,11642.7,0,351.3,1237.9,22.8,,,,,,
D,3MM,4,4.2,1YCM,5.0 Ar/CaCl,N/A,1,10,200,10,50,,11778.2,0,329.2,1295,0,,,,,,
E,3MM,4,4.2,1YCM,5.0 Ar/CaCl,N/A,1,10,200,10,50,,11955.9,0,327.3,1286.6,11.9,,,,,,
F,3MM,4,4.2,1YCM,5.0 Ar/CaCl,N/A,1,10,200,10,50,,11857.4,0,328.4,1296.2,0,,,,,,
G,3MM,4,4.2,1YCM,5.0 Ar/NaCl,N/A,1,10,200,10,50,,,,,,,,,,,,
H,3MM,4,4.2,1YCM,5.0 Ar/NaCl,N/A,1,10,200,10,50,,11440.7,0,377.6,1247.6,0,,,,,,
I,3MM,4,4.2,1YCM,5.0 Ar/NaCl,N/A,1,10,200,10,50,,,,,,,,,,,,
J,3MM,4,4.2,1YCM,5.0 Ar/LiCl,60 min @ 25in HG,1,10,200,10,50,,,,,,,,,,,,
K,3MM,4,4.2,1YCM,5.0 Ar/LiCl,60 min @ 25in HG,1,10,200,10,50,,12441.3,0,404.8,704.1,228.2,,,,,,
L,3MM,4,4.2,1YCM,5.0 Ar/LiCl,60 min @ 25in HG,1,10,200,10,50,,13288.6,0,366.4,889.9,164,,,,,,
M,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in HG,1,10,200,10,50,,14235,0,376.3,1185.8,114.9,,,,,,
N,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in HG,1,10,200,10,50,,13792.5,0,370.5,1131.2,108.9,,,,,,
O,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in HG,1,10,200,10,50,,13455.6,0,354.4,1182.8,84,,,,,,
