Tube,Notch placement (temp column.),substrate,Volume to add in mL,total liquid volume,Media type,storage,Drying Time,Bottle,Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,H2,O2,N2,CO,CO2,,Scaled CO,N2 Base,Average,Condition,,Average,Relative Humidity
SYNGAS,,,,,,,,,,,,,,,,,,,,,,340,,,,,
A,,3MM,4,4.2,1YCM,5.0 Ar,N/A,A (LiCl),1,10,200,10,50,,12448.4,0,336.3,1271.4,30.1,,1285.388046,,1309.155617," no vacuum, LiCl",,1309.155617,1
B,,3MM,4,4.2,1YCM,5.0 Ar,N/A,A (LiCl),1,10,200,10,50,,12411.7,0,331.3,1310.7,37.3,,1345.119227,,,,,1117.906301,2
C,,3MM,4,4.2,1YCM,5.0 Ar,N/A,A (LiCl),1,10,200,10,50,,12242.2,0,341.4,1302.3,38.1,,1296.959578,,,,,,
D,LN,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,B (LiCl),1,10,200,10,50,,12610,0,344.1,1128.3,74.3,,1114.856146,,920.9993784,"with vacuum, LiCl",,920.9993784,3
E,LN,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,B (LiCl),1,10,200,10,50,,12842,0,342.6,973.6,152.5,,966.2113252,,,,,,
F,LN,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,B (LiCl),1,10,200,10,50,,12843.2,0,334.6,671.1,216.8,,681.9306635,,,,,,
G,NN,3MM,4,4.12,1YCM,5.0 Ar,60 min @ 25in Hg,B (LiCl),2,10,120,10,50,,12717.2,0,341.6,1001.5,148.4,,996.8091335,,903.670546,"with vacuum, LiCl high cell conc",,903.670546,4
H,NN,3MM,4,4.12,1YCM,5.0 Ar,60 min @ 25in Hg,B (LiCl),2,10,120,10,50,,12361,0,429.3,880.1,130.9,,697.0277195,,,,,,
I,NN,3MM,4,4.12,1YCM,5.0 Ar,60 min @ 25in Hg,B (LiCl),2,10,120,10,50,,12412,0,349,1044.1,126.4,,1017.174785,,,,,1204.3581,5
J,RN,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,C (Drierite),1,10,200,10,50,,12389.3,0,327,1036.9,84.4,,1078.122324,,1117.906301,"with vacuum, drierite",,,
K,RN,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,C (Drierite),1,10,200,10,50,,12141,0,314.5,998,81,,1078.918919,,,,,,
L,RN,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,C (Drierite),1,10,200,10,50,,11894.2,0,333.5,1173.8,45,,1196.677661,,,,,,
M,MN,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,D (CaCl),1,10,200,10,50,,11354.7,0,330.9,1124.4,30.8,,1155.32185,,1204.3581,"with vacuum, CaCl",,,
N,MN,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,D (CaCl),1,10,200,10,50,,11603.2,0,301.4,1123.6,47.1,,1267.498341,,,,,,
O,MN,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,D (CaCl),1,10,200,10,50,,11553.5,0,334.5,1171,50.4,,1190.254111,,,,,,
