purpose: see how different concentrations of a protective disaccharide affect dry stability along with longer drying times,,,,,,,,,,,,,,,,,,,340,
,,,,,,,,,,,,,,,,,,,,
Tube,substrate,Volume to add in mL,total liquid volume,Media type,Drying time at 25in Hg (hrs),storage headspace,Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,H2,O2,N2,CO,CO2,,scaled CO,scaled avg
SYNGAS,,,,,,,,,,,,,,,,,,,,
A,602h,4,4.12,1YCM,1,5.0 Ar,1,10,120,10,50,,13220.1,4.9,463.8,741.8,199.2,,543.7947391,644.3122925
B,602h,4,4.12,1YCM,1,5.0 Ar,1,10,120,10,50,,12059.6,13,545.6,880.3,132.9,,548.5740469,
C,602h,4,4.12,1YCM,1,5.0 Ar,1,10,120,10,50,,12581.4,,376.7,931.3,137.7,,840.5680913,
D,602h,4,4.12,1YCM,2.5,5.0 Ar,1,10,120,10,50,,12339.3,,338.7,1069.2,100.6,,1073.303809,857.658679
E,602h,4,4.12,1YCM,2.5,5.0 Ar,1,10,120,10,50,,13147.4,,387,683,210.9,,600.0516796,
F,602h,4,4.12,1YCM,2.5,5.0 Ar,1,10,120,10,50,,12651.8,,342.6,906.5,141.7,,899.6205487,
G,602h,4,4.12,1YCM,5,5.0 Ar,1,10,120,10,50,,12268,,331.4,1001.2,110.6,,1027.181654,862.0471554
H,602h,4,4.12,1YCM,5,5.0 Ar,1,10,120,10,50,,11895.9,,400.2,941.2,116.7,,799.6201899,
I,602h,4,4.12,1YCM,5,5.0 Ar,1,10,120,10,50,,12600.9,,360.4,804.9,173.1,,759.3396226,
J,602h,4,4.12,1YCM,72,5.0 Ar,1,10,120,10,50,,12208.2,,338.1,1011.8,95.3,,1017.485951,969.4009963
K,602h,4,4.12,1YCM,72,5.0 Ar,1,10,120,10,50,,12227.7,,347.1,905.4,129.1,,886.8798617,
L,602h,4,4.12,1YCM,72,5.0 Ar,1,10,120,10,50,,12007.4,,351.3,1037.2,86.3,,1003.837176,
,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,
,total,48,,,,,,total,1440,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES:,,,,,,,,,Formulations ,,,,,,,,,,,
"J,K,L left in 25in Hg until rehydration on Monday 7/13",,,,,,,,,cells,media,total,,,,,,,,,
,,,,,,,,no notch,#1 ,0.5,,,,,,,,,,
,,,,,,,,,770,770,1540,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
