Sample #,Tube,Formulation,Storage RH,trehalose in tube,notes,Fabrication order,flushing order,flushing location,,H2,O2,N2,CO,CO2,Scaled CO,,AVG,N2 Base,,H2,O2,N2,CO,CO2,Scaled CO
,,,,,,,,,,,,,,,,,,340,,,,,,,
1,A,1,Uncontrolled,0,,4,1,,,14247,,427,530,306,422.0140515,,,,,,,,,,
2,B,1,Uncontrolled,0,,5,1,,,13069,,359,1001,129,948.0222841,,,,,,,,,,
3,C,1,Uncontrolled,0,,6,1,,,13490,,405,603,255,506.2222222,,,,,,,,,,
4,D,2,Uncontrolled,0.02,,7,1,,,12299,,334,1133,88,1153.353293,,,,,,,,,,
5,E,2,Uncontrolled,0.02,,8,1,,,13016,,354,844,192,810.6214689,,,,,12031,,343,890,123,882.2157434
6,F,2,Uncontrolled,0.02,,9,1,,,12763,,348,824,175,805.0574713,,,,,,,,,,
7,G,3,Uncontrolled,0.04,,10,1,,,12701,,347,824,182,807.3775216,,,,,,,,,,
8,H,3,Uncontrolled,0.04,,11,1,,,12489,29.3,510,552,228,368,,,,,,,,,,
9,I,3,Uncontrolled,0.04,,12,1,,,12344,,351,864,165,836.9230769,,,,,,,,,,
10,J,1,0,0,,13,1,,,12057,,327,1094,83,1137.492355,,,,,,,,,,
11,K,1,0,0,,20,2,,,11968,,327,1056,96,1097.981651,,,,,,,,,,
12,L,1,0,0,,19,2,,,12352,,339,830,150,832.4483776,,,,,,,,,,
13,M,3,0,0.02,,14,1,,,12128,,322,982,132,1036.89441,,,,,,,,,,
14,N,3,0,0.02,,21,2,,,12355,,328,912,147,945.3658537,,,,,,,,,,
15,O,3,0,0.02,,22,2,,,12209,,335,969,125,983.4626866,,,,,,,,,,
16,P,1,11,0,,15,1,,,12393,,334,940,119,956.8862275,,,,,,,,,,
17,Q,1,11,0,,23,2,,,12358,,335,922,141,935.761194,,,,,,,,,,
18,R,1,11,0,,24,2,,,12195,,326,1024,177,1067.97546,,,,,,,,,,
19,S,3,11,0.02,? maybe used both 1&3,16,1,,,11693,,314,1108,94,1199.745223,,,,,,,,,,
20,T,3,11,0.02,,25,2,,,12216,19,474,614,224,440.4219409,,,,,,,,,,
21,U,3,11,0.02,,26,2,,,12529,,352,819,186,791.0795455,,,,,,,,,,
22,V,4,,0.02,2X cells,,,,,,,,,,,,,,,,,,,,
23,W,4,,0.02,2X cells,,,,,,,,,,,,,,,,,,,,
24,X,4,,0.02,2X cells,,,,,,,,,,,,,,,,,,,,
