Sample,Tube,Formulation,Storage temperature,Flushing time,Flushing Location,,,H2,O2,N2,CO,CO2,Scaled CO,,AVG,H2,O2,N2,CO,CO2,Scaled CO,,AVG
,,,,,,,Syinge Used,,,,,,,,,,,,,,,,
1,A,1,4,25,A,,A,13594,,496,649,236,444.8790323,,601.7577454,,,,,,,,
2,B,1,4,25,B,,B,12971,,358,979,131,929.7765363,,,,,,,,,,
3,C,1,4,25,C,,C,12978,3.4,389,722,190,631.0539846,,,,,,,,,,
4,D,1,4,25,Under Hood,,H,11895,49,560,661,182,401.3214286,,,,,,,,,,
5,E,1,21,25,D,,I,12265,,363,937,115,877.630854,,953.7819234,,,,,,,,
6,F,1,21,25,E,,J,12168,,339,983,103,985.899705,,,,,,,,,,
7,G,1,21,25,F,,K,12158,,339,945,118,947.7876106,,,,,,,,,,
8,H,1,21,25,Under Hood,,L,12022,,336,992,88,1003.809524,,,,,,,,,,
9,I,1,27,25,G,,A,11828,,321,1100,61,1165.109034,,1023.833968,,,,,,,,
10,J,1,27,25,H,,B,12109,,333,975,114,995.4954955,,,,,,,,,,
11,K,1,27,25,I,,C,11661,,335,987,99,1001.731343,,,,,,,,,,
12,L,1,27,25,Under Hood,,D,12197,,340,933,125,933,,,,,,,,,,
13,M,1,37,25,K,,E,11466,,316,1213,28,1305.126582,,1237.84572,,,,,,,,
14,N,1,37,25,L,,F,11562,,318,1163,51,1243.459119,,,,,,,,,,
15,O,1,37,25,M,,G,11481,,317,1163,35,1247.381703,,,,,,,,,,
16,P,1,37,25,Under Hood,,H,11047,6.1,349,1186,27,1155.415473,,,,,,,,,,
17,Q,2,4,15,Under Hood 2nd,from left,D,13654,,493,411,314,283.4482759,,,,,,,,,,
18,R,2,4,15,Under Hood 3rd,,E,12401,,321,921,111,975.5140187,,,,,,,,,,
19,S,2,4,15,Under Hood 4th,,F,13527,,397,585,257,501.0075567,,,,,,,,,,
20,T,2,4,15,Under Hood 5th,only half,G,12698,,429,698,190,553.1934732,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,cell fraction,0.3,,,,3200,,,,,,,,,,,,,,,
,,,Formulations,Cells,media,total,,,,,,,,,,,,,,,,,
,,,#1 ,OTA1,,,,,,,,,,,,,,,,,,,
,,,volume (uL),1100,2566.666667,3666.666667,,,,,,,,,,,,,,,,,
,,,#2,OTA1 2X,,,,,,,,,,,,,,,,,,,
,,,volume (uL),450,300,750,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Turbitidy Ranking -- from most to least,,,,,,,,,,,,,,,,,
Dyring Notes:,,,,,,B,,,,,,,,,,,,,,,,,
** VORTEX REALLY WELL,,,,,,D,,,,,,,,,,,,,,,,,
** TURN DIALS FULL 360 DEGREES WHEN FLUSHING --- CONSISTENT!!! ,,,,,,A,,,,,,,,,,,,,,,,,
used 5 bottels mRCMf 3'A-E PCG 2/22/16,,,,,,M,,,,,,,,,,,,,,,,,
Started at 1130am,,,,,,C,,,,,,,,,,,,,,,,,
Rinsed with 20mL of 1YCM PCG 2/9/16 reduced with 1ml of 2.5 cysteine HCl in 0.2N NaOH,,,,,,E,,,,,,,,,,,,,,,,,
All into storage at ~3pm,,,,,,I,,,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,,,
Rehydration Notes 3/14,,,,,,G,,,,,,,,,,,,,,,,,
Oxygen level in chamber being very diffuclt; not going down after two flushes,,,,,,H,,,,,,,,,,,,,,,,,
Rehydrated with PCG 2/9/16 1YCM 1mL Cys 0.2 N NaOH,,,,,,J,,,,,,,,,,,,,,,,,
Oxygen level at 0.08 when started rehydrating at 5:20 PM,,,,,,K,,,,,,,,,,,,,,,,,
Flushed with syngas 2 min green needles 20 psi,,,,,,N,,,,,,,,,,,,,,,,,
Placed in shaker at 5:56 PM,,,,,,L,,,,,,,,,,,,,,,,,
,,,,,,O,,,,,,,,,,,,,,,,,
Assaying Notes 3/15,,,,,,P,,,,,,,,,,,,,,,,,
Run 4C tubes first!!,,,,,,Q,,,,,,,,,,,,,,,,,
Note the turbidities!,,,,,,R,,,,,,,,,,,,,,,,,
"Samples A,B,C, Q,R,S,T and D,E,F,G,H sampled at 8:30 AM",,,,,,S,,,,,,,,,,,,,,,,,
Samples I-P sampled at 9:55 AM,,,,,,T,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
