purpose: see how different concentrations of a protective disaccharide affect dry stability.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tube,substrate,Volume to add in mL,total liquid volume,Media type,storage headspace,Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,H2,O2,N2,CO,CO2
SYNGAS,,,,,,,,,,,,,,,,
A,602h,4,4.12,1YCM,5.0 Ar,1,10,120,10,,,13627,,413,787,216
B,602h,4,4.12,1YCM,5.0 Ar,1,10,120,10,,,13663.1,,411,863,187
C,602h,4,4.12,1YCM,5.0 Ar,1,10,120,10,,,13728,,430,629,272
D,602h,4,4.12,1YCM,5.0 Ar,2,10,120,10,,,14749,,437,398,365
E,602h,4,4.12,1YCM,5.0 Ar,2,10,120,10,,,13996,,405,496,315
F,602h,4,4.12,1YCM,5.0 Ar,2,10,120,10,,,14175,,419,523,310
G,602h,4,4.12,1YCM,5.0 Ar,3,10,120,10,,,13571,,383.5,735.2,216
H,602h,4,4.12,1YCM,5.0 Ar,3,10,120,10,,,13870,,430,535,304
I,602h,4,4.12,1YCM,5.0 Ar,3,10,120,10,,,13667,,410,542,281
J,602h,4,4.12,1YCM,5.0 Ar,4,10,120,10,,,12298,,344,1168,72
K,602h,4,4.12,1YCM,5.0 Ar,4,10,120,10,,,12262,,342,1094,87
L,602h,4,4.12,1YCM,5.0 Ar,4,10,120,10,,,11878,,343,1223,38
,,,,,,,,,,,,,,,,
,total,48,,,,,total,1440,,,,,,,,
,,,,,,,,,,,,,,,,
NOTES:,,,,,,,,Formulations ,,,,,,,,
"this time I used the big 450 oak ridge bottles with rubber gaskets to put all three in one, 3'A, 3'B, 3'C",,,,,,,,cells,media,total,,,,,,
balance with an oak ridge bottle that didn't have a gasket with tap water,,,,,,,no notch,#1 ,0.5,,,,,,,
"spun at 5000rpm because of wider radius, for 15 min.",,,,,,,,200,200,400,,,,,,
one of the #2 samples only got ~100uL I don't understand. the left notch has a cut it in,,,,,,,notch left,#2 0.02g suc,0.5,,,,,,,
dried for 40 min at 25in Hg,,,,,,,,200,200,400,,,,,,
"I made a little mistake fist time I flushed the tubes for storage, so they all got 4min flushing instead of 2min",,,,,,,notch righ,#3 0.1g suc,0.5,,,,,,,
rehydrated 5/25/15 at 2pm. into shaker at 235pm.,,,,,,,,200,200,400,,,,,,
assayed at 230 on 5/26/15,,,,,,,notch both,#4 0.5g suc,0.5,,,,,,,
,,,,,,,,200,200,400,,,,,,
