objective: analyze difference in enhanced recovery as well as coating surface area,,,,,,,,,,,,,,,,,,,,N2,340,,,
Tube,substrate,Volume to add in mL,total liquid volume,Media type,reaction time (h),Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,Treatment after,,,H2,O2,N2,CO,CO2,,Scaled CO,average,,,
A,N/A,4,4.2,1YCM,4,1,20,200,10,50,N/A,,A,12383,,428,1128,99.7,,896.0747664,891.4060438,,Suspended,891.4060438
B,N/A,4,4.2,1YCM,4,1,20,200,10,50,N/A,,B,12512,,429,1133,102,,897.9487179,,,BC,396.1106154
C,N/A,4,4.2,1YCM,4,1,20,200,10,50,N/A,,C,11560,,411,1064,76.3,,880.1946472,,,BC rocked,266.7659975
D,3MM,4,4.2,1YCM,4,1,20,200,10,50,N/A,,D,13886,,483,530,248,,373.0848861,396.1106154,,BC shaken,342.4200668
E,3MM,4,4.2,1YCM,4,1,20,200,10,50,N/A,,E,13950,,440,587,257,,453.5909091,,,,
F,3MM,4,4.2,1YCM,4,1,20,200,10,50,N/A,,F,13795,,471,501,283,,361.656051,,,,
G,3MM,4,4.2,1YCM,4,1,20,200,10,50,rock 10X over 1 min,,G,13509,,527,397,273,,256.1290323,266.7659975,,,
H,3MM,4,4.2,1YCM,4,1,20,200,10,50,rock 10X over 1 min,,H,12003,,720,363,267,,171.4166667,,,,
I,3MM,4,4.2,1YCM,4,1,20,200,10,50,rock 10X over 1 min,,I,13538,,436,478,277,,372.7522936,,,,
J,3MM,4,4.2,1YCM,4,1,20,200,10,50,200rpm for 1 min,,J,13650,,446,446,290,,340,342.4200668,,,
K,3MM,4,4.2,1YCM,4,1,20,200,10,50,200rpm for 1 min,,K,13429,,503,328,320,,221.7097416,,,,
L,3MM,4,4.2,1YCM,4,1,20,200,10,50,200rpm for 1 min,,L,12811,,436,597,200,,465.5504587,,,,
M,3MM,4,4.4,1YCM,4,1,40,400,20,50,200rpm for 1 min,,M,13568,,603,200,373,,112.7694859,395.142355,,,
