objective: analyze difference in enhanced recovery as well as coating surface area,,,,,,,,,,,,,,,,,,,,N2,340,,
Tube,substrate,Volume to add in mL,total liquid volume,Media type,reaction time (h),Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,Treatment after,,,H2,O2,N2,CO,CO2,,Scaled CO,average,,
A,N/A,4,4.2,1YCM,3 (4:22),1,20,200,10,50,N/A,,A,12266,,401,1159,76,,982.6932668,,,
B,N/A,4,4.2,1YCM,3 (4:22),1,20,200,10,50,N/A,,B,12376,,401,1173,65,,994.563591,,,
C,N/A,4,4.2,1YCM,3 (4:22),1,20,200,10,50,N/A,,C,11817,,396,1127,77,,967.6262626,,,
D,3MM,4,4.2,1YCM,3 (4:22),1,20,200,10,50,N/A,,D,13506,,446,685,225,,522.1973094,,,
E,3MM,4,4.2,1YCM,3 (4:22),1,20,200,10,50,N/A,,E,13550,,452,650,208,,488.9380531,,,
F,3MM,4,4.2,1YCM,3 (4:22),1,20,200,10,50,N/A,,F,13397,,444,669,201,,512.2972973,,,
G,3MM,4,4.2,1YCM,3 (4:22),1,20,200,10,50,rock 20X over 1 min,,G,13273,,457,615,238,,457.5492341,,,
H,3MM,4,4.2,1YCM,3 (4:22),1,20,200,10,50,rock 20X over 1 min,,H,12911,,501,605,204,,410.5788423,,,
I,3MM,4,4.2,1YCM,3 (4:22),1,20,200,10,50,rock 20X over 1 min,,I,13080,,420,687,208,,556.1428571,,,
J,3MM,4,4.4,1YCM,1.5 (1:52pm),1,40,400,20,50,rock 20X over 1 min,,J,14159,,480,619,264,,438.4583333,,,
K,3MM,4,4.4,1YCM,1.5 (1:52pm),1,40,400,20,50,rock 20X over 1 min,,K,13799,,472,614,254,,442.2881356,,,
L,3MM,4,4.4,1YCM,1.5 (1:52pm),1,40,400,20,50,rock 20X over 1 min,,L,13633,,495,532,272,,365.4141414,,,
M,3MM,4,4.4,1YCM,3 (4:22),1,10,100,5,50,rock 20X over 1 min,,M,12393,,344,1065,71,,1052.616279,,,
N,3MM,4,4.4,1YCM,3 (4:22),1,10,100,5,50,rock 20X over 1 min,,N,12453,,372,983,114,,898.4408602,,,
O,3MM,4,4.4,1YCM,3 (4:22),1,10,100,5,50,rock 20X over 1 min,,O,12457,,384,933,128,,826.09375,,,
,total,48,,,,,total for product,3300,,,,,,,,,,,,,,,
NOTES:,   ,,,,,,,Formulations ,,,,,,,,,,,,,,,
"I forgot to reduce the 1YCM last night, so I reduced this morning at 845am and waited for them to go clear before starting",,,,,,,,cells,media,total,,,,,,,,,,,,,
Bottles 2'A-D (PCG 10/19/15) 20mL taken from 2'A for transfer,,,,,,,,#1 OTA1,0.3,,,,,,,,,,,,,,
50mL 1YCM reduced with  1ml CYS (PCG 10/20/15),,,,,,,,1300,3033.333333,4333.333333,,,,,,,,,,,,,
started at 1045 using 25mL bottle of 1YCM that was reduced previously for the rinse. 50mL bottles were ready when I wanted to add media to tubes,,,,,,,,,,,,,,,,,,,,,,,
into the shaker at 122pm,,,,,,,,,,,,,line,tube,,ethanol,ACETATE,,,,,,
,,,,,,,,,,,,,1,1,H2O,20.7,,,,,,,
,,,,,,,,,,,,,2,2,std1,431.4,12.6,,,,,,
,,,,,,,,,,,,,3,3,std2,129.9,118.9,,,,,,
,,,,,,,,,,,,,4,4,std3,37.8,240.2,,,,,,
,,,,,,,,,,,,,5,5,1YCM,15.4,,,,,,,
,,,,,,,,,,,,,6,1,H2O,18.4,,,,,,,
,,,,,,,,,,,,,7,6,A,25.3,113.4,,,,,,
,,,,,,,,,,,,,8,7,B,30.2,113.3,,,,,,
,,,,,,,,,,,,,9,8,C,31.5,115.1,,,,,,
,,,,,,,,,,,,,10,9,D,27.4,115.9,,,,,,
,,,,,,,,,,,,,11,10,E,28.7,97.8,,,,,,
,,,,,,,,,,,,,12,11,F,30.5,111.5,,,,,,
,,,,,,,,,,,,,13,12,G,31.9,146.7,,,,,,
,,,,,,,,,,,,,14,13,H,32.6,144.4,,,,,,
,,,,,,,,,,,,,15,14,I,31.4,123.2,,,,,,
,,,,,,,,,,,,,16,15,J,37,150.9,,,,,,
,,,,,,,,,,,,,17,16,K,37.6,157,,,,,,
,,,,,,,,,,,,,18,17,L,38.8,165.9,,,,,,
,,,,,,,,,,,,,19,18,M,33.5,48.2,,,,,,
,,,,,,,,,,,,,20,19,N,34.6,83.6,,,,,,
,,,,,,,,,,,,,21,20,O,36.3,92.4,,,,,,
,,,,,,,,,,,,,22,21,0h1,34.4,13.6,,,,,,
,,,,,,,,,,,,,23,1,H2O,32.4,,,,,,,
,,,,,,,,,,,,,24,2,std1,446.1,12.7,,,,,,
,,,,,,,,,,,,,25,3,std2,137.2,114.5,,,,,,
,,,,,,,,,,,,,26,4,std3,51.1,230,,,,,,
,,,,,,,,,,,,,27,5,1YCM,28.3,,,,,,,
,,,,,,,,,,,,,28,1,H2O,29.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
