Tube,substrate,Volume to add in mL,total liquid volume,Media type,reaction time (h),Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,,H2,O2,N2,CO,CO2,,,,
A,3MM,4,4.2,1YCM,0.75 (1230),1,10,200,10,50,,A,12924,,358,1260,41,,,,
B,3MM,4,4.2,1YCM,0.75 (1230),1,10,200,10,50,,B,12862,,348,1271,35,,,,
C,3MM,4,4.2,1YCM,0.75 (1230),1,10,200,10,50,,C,12314,,352,1222,37,,,,
D,N/A,4,4.2,1YCM,0.75 (1230),1,10,200,10,50,,D,12610,,349,1338,19,,,,
E,N/A,4,4.2,1YCM,0.75 (1230),1,10,200,10,50,,E,12170,,342,1296,,,,,
F,N/A,4,4.2,1YCM,0.75 (1230),1,10,200,10,50,,F,12089,,342,1291,,,,,
G,3MM,4,4.2,1YCM,1.5 (115),1,10,200,10,50,,G,12791,,358,1105,95,,,,
H,3MM,4,4.2,1YCM,1.5 (115),1,10,200,10,50,,H,12842,,371,1063,87,,,,
I,3MM,4,4.2,1YCM,1.5 (115),1,10,200,10,50,,I,12684,,355,1084,92,,,,
J,N/A,4,4.2,1YCM,1.5 (115),1,10,200,10,50,,J,12008,,350,1218,40,,,,
K,N/A,4,4.2,1YCM,1.5 (115),1,10,200,10,50,,K,11827,,347,1207,39,,,,
L,N/A,4,4.2,1YCM,1.5 (115),1,10,200,10,50,,L,11816,,351,1208,48,,,,
M,3MM,4,4.2,1YCM,2.25 (2:00),1,10,200,10,50,,M,12832,,383,859,164,,,,
N,3MM,4,4.2,1YCM,2.25 (2:00),1,10,200,10,50,,N,12982,,379,929,123,,,,
O,3MM,4,4.2,1YCM,2.25 (2:00),1,10,200,10,50,,O,12264,,375,938,123,,,,
P,N/A,4,4.2,1YCM,2.25 (2:00),1,10,200,10,50,,P,11798,,365,1170,49,,,,
Q,N/A,4,4.2,1YCM,2.25 (2:00),1,10,200,10,50,,Q,11743,,363,1159,64,,,,
R,N/A,4,4.2,1YCM,2.25 (2:00),1,10,200,10,50,,R,11666,,369,1166,61,,,,
S ,3MM,4,4.2,1YCM,3 (2:45),1,10,200,10,50,,S ,13087,,398,815,183,,,,
T ,3MM,4,4.2,1YCM,3 (2:45),1,10,200,10,50,,T ,13069,,411,771,189,,,,
U,3MM,4,4.2,1YCM,3 (2:45),2,10,200,10,50,,U,13072,,422,771,193,,,,
V,N/A,4,4.2,1YCM,3 (2:45),2,10,200,10,50,,V,11500,,376,1096,73,,,,
W,N/A,4,4.2,1YCM,3 (2:45),2,10,200,10,50,,W,11711,,377,1118,60,,,,
X,N/A,4,4.2,1YCM,3 (2:45),3,10,200,10,50,,X,11538,,390,1103,72,,,,
Y,3MM,4,4.2,1YCM,3.75,3,10,200,10,50,,Y,13063,,463,557,255,,,,
Z,3MM,4,4.2,1YCM,3.75,3,10,200,10,50,,Z,13294,,412,636,229,,,,
AA,3MM,4,4.2,1YCM,3.75,3,10,200,10,50,,AA,12427,,437,603,193,,,,
AB,N/A,4,4.2,1YCM,3.75,3,10,200,10,50,,AB,11729,,412,1086,91,,,,
AC,N/A,4,4.2,1YCM,3.75,3,10,200,10,50,,AC,11681,,409,1087,89,,,,
AD,N/A,4,4.2,1YCM,3.75,3,10,200,10,50,,AD,11688,,417,1094,71,,,,
,total,120,,,,,total for product,6000,,,,,,,,,,,,,
NOTES:,   ,,,,,,,Formulations ,,,,,,,,,,,,,
Started of 845am,,,,,,,,cells,media,total,,,,,,,,,,,
used 2'A through 2'E mRCMf MJS 9/30/15,,,,,,,,#1 OTA1,0.3,,,,,,,,,,,,
trasnfer of 20mL was made out of 2'A at 745am,,,,,,,,2000,4666.666667,6666.666667,,,,,,,,,,,
"after first spin in floor centrifuge at 5000rpm and 4C, rinsed with 25mL of 1YCM PCG 10/1/15",,,,,,,,,,,,,,,,,,,,,
all into shaker at 1145 after flushing at 10psi for 2 min,,,,,,,,,,,,line,tube,,ethanol,ACETATE,,,,,
"A,B,C,G, and maybe H had turned pink before I brought them out of the anaerobic chamber (????)",,,,,,,,,,,,1,1,H2O,38.3,,,,,,
rocked them 20 times before opening to take liquid sample,,,,,,,,,,,,2,2,std1,339.3,16.2,,,,,
,,,,,,,,,,,,3,3,std2,100,119,,,,,
,,,,,,,,,,,,4,4,std3,38.7,243.4,,,,,
,,,,,,,,,,,,5,5,1YCM,20.5,,,,,,
,,,,,,,,,,,,6,1,H2O,16.9,,,,,,
,,,,,,,,,,,,7,6,A,29.6,41.1,,,,,
,,,,,,,,,,,,8,7,B,29.5,33,,,,,
,,,,,,,,,,,,9,8,C,32.3,37.2,,,,,
,,,,,,,,,,,,10,9,D,29.3,49.7,,,,,
,,,,,,,,,,,,11,10,E,31,49.9,,,,,
,,,,,,,,,,,,12,11,F,33.5,52,,,,,
,,,,,,,,,,,,13,12,G,36.9,60,,,,,
,,,,,,,,,,,,14,13,H,39.6,59.8,,,,,
,,,,,,,,,,,,15,14,I,39.1,54.8,,,,,
,,,,,,,,,,,,16,15,J,37.5,74,,,,,
,,,,,,,,,,,,17,16,K,38.8,74.9,,,,,
,,,,,,,,,,,,18,17,L,39.4,74.2,,,,,
,,,,,,,,,,,,19,18,M,46.2,99,,,,,
,,,,,,,,,,,,20,19,N,46.5,83.4,,,,,
,,,,,,,,,,,,21,20,O,48.3,79.1,,,,,
,,,,,,,,,,,,22,21,P,43.9,89.5,,,,,
,,,,,,,,,,,,23,22,Q,45.4,91.5,,,,,
,,,,,,,,,,,,24,23,R,45,91.2,,,,,
,,,,,,,,,,,,25,24,S ,46.5,67.1,,,,,
,,,,,,,,,,,,26,25,T ,51,105.6,,,,,
,,,,,,,,,,,,27,26,U,51.5,126.2,,,,,
,,,,,,,,,,,,28,27,V,52.5,108.7,,,,,
,,,,,,,,,,,,29,28,W,52.1,106.7,,,,,
,,,,,,,,,,,,30,29,X,52.4,108.5,,,,,
,,,,,,,,,,,,31,30,Y,52.7,163.6,,,,,
,,,,,,,,,,,,32,31,Z,54.3,126.1,,,,,
,,,,,,,,,,,,33,32,AA,53.5,131.6,,,,,
,,,,,,,,,,,,34,33,AB,56.6,125.1,,,,,
,,,,,,,,,,,,35,34,AC,57.3,126.2,,,,,
,,,,,,,,,,,,36,35,AD,56.1,124.6,,,,,
,,,,,,,,,,,,37,36,0h1,51.6,22.4,,,,,
,,,,,,,,,,,,38,37,S2,56.9,110.3,,,,,
,,,,,,,,,,,,39,1,H2O,43.3,,,,,,
,,,,,,,,,,,,40,2,std1,325.9,15.4,,,,,
,,,,,,,,,,,,41,3,std2,119.9,111.3,,,,,
,,,,,,,,,,,,42,4,std3,55.4,226.4,,,,,
,,,,,,,,,,,,43,5,1YCM,37.4,,,,,,
,,,,,,,,,,,,44,1,H2O,37.2,,,,,,
,,,,,,,,,,,,45,1,H2O,34,,,,,,
,,,,,,,,,,,,46,38,std1 old,385.5,14.3,,,,,
,,,,,,,,,,,,47,39,std2 old,133.7,115,,,,,
,,,,,,,,,,,,48,40,std3 old,52.5,223,,,,,
,,,,,,,,,,,,49,1,H2O,32.8,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
