Tube,substrate,Volume to add in mL,total liquid volume,Media type,reaction time (min),Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,,H2,O2,N2,CO,CO2,,,,
SYNGAS,,,,,,,,,,,,,,,,,,,,,
A,N/A,4,4.2,1YCM,50 (12:30),1,10,200,10,50,,A,12337,,349.9,1336,22.4,,,,
B,N/A,4,4.2,1YCM,50 (12:30),1,10,200,10,50,,B,12348,,346,1329,24.1,,,,
C,3MM,4,4.2,1YCM,50 (12:30),1,10,200,10,50,,C,12337,,351,1164,61.4,,,,
D,3MM,4,4.2,1YCM,50 (12:30),1,10,200,10,50,,D,12514,,358,1159,66.4,,,,
E,N/A,4,4.2,1YCM,100 (1:20),1,10,200,10,50,,E,11916,,355,1232,43.4,,,,
F,N/A,4,4.2,1YCM,100 (1:20),1,10,200,10,50,,F,12079,,360,1237,47.8,,,,
G,3MM,4,4.2,1YCM,100 (1:20),1,10,200,10,50,,G,12796,,383,973,120.2,,,,
H,3MM,4,4.2,1YCM,100 (1:20),1,10,200,10,50,,H,12368,,415,928,119,,,,
I,N/A,4,4.2,1YCM,150 (2:10),1,10,200,10,50,,I,12011,,384,1195,60.3,,,,
J,N/A,4,4.2,1YCM,150 (2:10),1,10,200,10,50,,J,11969,,379,1173,65,,,,
K,3MM,4,4.2,1YCM,150 (2:10),1,10,200,10,50,,K,13029,,423,675,206,,,,
L,3MM,4,4.2,1YCM,150 (2:10),1,10,200,10,50,,L,13056,,430,701,203,,,,
M,N/A,4,4.2,1YCM,200 (3:00),1,10,200,10,50,,M,11538,,392,1109,68,,,,
N,N/A,4,4.2,1YCM,200 (3:00),1,10,200,10,50,,N,11881,,400,1123,74,,,,
O,3MM,4,4.2,1YCM,200 (3:00),1,10,200,10,50,,O,12480,,463,547,231,,,,
P,3MM,4,4.2,1YCM,200 (3:00),1,10,200,10,50,,P,13306,,466,553,244,,,,
Q,N/A,4,4.2,1YCM,250 (3:50),1,10,200,10,50,,Q,11950,,425,1109,83,,,,
R,N/A,4,4.2,1YCM,250 (3:50),1,10,200,10,50,,R,11814,,421,1087,84,,,,
S ,3MM,4,4.2,1YCM,250 (3:50),1,10,200,10,50,,S ,13411.6,,486,498,259,,,,
T ,3MM,4,4.2,1YCM,250 (3:50),1,10,200,10,50,,T ,12523.8,,587,417.8,261,,,,
U,N/A,4,4.2,1YCM,300 (4:40),1,10,200,10,50,,U,11891,,442,1066,94,,,,
V,N/A,4,4.2,1YCM,300 (4:40),1,10,200,10,50,,V,11888,,439,1054,95,,,,
W,3MM,4,4.2,1YCM,300 (4:40),1,10,200,10,50,,W,13222,,675,75,381,,,,
X,3MM,4,4.2,1YCM,300 (4:40),1,10,200,10,50,,X,13285,,516,397,281,,,,
Y,N/A,4,4.2,1YCM,350 (5:30),1,10,200,10,50,,Y,11683,,448,997,108,,,,
Z,N/A,4,4.2,1YCM,350 (5:30),1,10,200,10,50,,Z,11766,,460,991,102,,,,
AA,3MM,4,4.2,1YCM,350 (5:30),1,10,200,10,50,,AA,13245,,592,107,359,,,,
AB,3MM,4,4.2,1YCM,350 (5:30),1,10,200,10,50,,AB,13595,,606,135,358,,,,
,total,112,,,,,total for product,5600,,,,,,,,,,,,,
NOTES:,   ,,,,,,,Formulations ,,,,,,,,,,,,,
rinsed with 25mL of 1ycm between spins,,,,,,,,cells,media,total,,,,,,,,,,,
into shaker at 1140am,,,,,,,,#1 OTA1,0.3,,,,,,,,,,,,
,,,,,,,,1900,4433.333333,6333.333333,,,,,,,,,,,
,,,,,,,,,,,,,,,from 1.7 to 3,,,,,,
,,,,,,,,,,,,line,tube,,ETHANOL,ACETATE,,,,,
,,,,,,,,,,,,1,1,H2O,19.6,,,,,,
,,,,,,,,,,,,2,2,std1,314.1,4.4,,,,,
,,,,,,,,,,,,3,3,std2,87,114,,,,,
,,,,,,,,,,,,4,4,std3,30.1,228.1,,,,,
,,,,,,,,,,,,5,5,1YCM,15.1,,,,,,
,,,,,,,,,,,,6,1,H2O,16.8,,,,,,
,,,,,,,,,,,,7,6,A,19.3,54,,,,,
,,,,,,,,,,,,8,7,B,22,53,,,,,
,,,,,,,,,,,,9,8,C,21.6,25.9,,,,,
,,,,,,,,,,,,10,9,D,23.2,35.5,,,,,
,,,,,,,,,,,,11,10,E,27.6,77.3,,,,,
,,,,,,,,,,,,12,11,F,29.7,77.9,,,,,
,,,,,,,,,,,,13,12,G,27.2,57,,,,,
,,,,,,,,,,,,14,13,H,29,56.1,,,,,
,,,,,,,,,,,,15,14,I,33.6,96.6,,,,,
,,,,,,,,,,,,16,15,J,34.6,91.6,,,,,
,,,,,,,,,,,,17,16,K,31.6,91.5,,,,,
,,,,,,,,,,,,18,17,L,32.1,96.9,,,,,
,,,,,,,,,,,,19,18,M,38.5,115.5,,,,,
,,,,,,,,,,,,20,19,N,39.3,116.3,,,,,
,,,,,,,,,,,,21,20,O,36.6,144.1,,,,,
,,,,,,,,,,,,22,21,P,36.1,115,,,,,
,,,,,,,,,,,,23,22,Q,43.8,128,,,,,
,,,,,,,,,,,,24,23,R,42.5,129.8,,,,,
,,,,,,,,,,,,25,24,S ,38.7,128.1,,,,,
,,,,,,,,,,,,26,25,T ,40,151.1,,,,,
,,,,,,,,,,,,27,26,U,45.7,142.2,,,,,
,,,,,,,,,,,,28,27,V,46.6,133,,,,,
,,,,,,,,,,,,29,28,W,43.9,221.2,,,,,
,,,,,,,,,,,,30,29,X,41.6,144.5,,,,,
,,,,,,,,,,,,31,30,Y,49.5,155,,,,,
,,,,,,,,,,,,32,31,Z,52,159.9,,,,,
,,,,,,,,,,,,33,32,AA,44.6,181.3,,,,,
,,,,,,,,,,,,34,33,AB,46.1,195.9,,,,,
,,,,,,,,,,,,35,34,0hour,0,0,,,,,
,,,,,,,,,,,,36,1,H2O,54.4,,,,,,
,,,,,,,,,,,,37,2,std1,338.9,14.9,,,,,
,,,,,,,,,,,,38,3,std2,109.3,112,,,,,
,,,,,,,,,,,,39,4,std3,51.3,226.1,,,,,
,,,,,,,,,,,,40,5,1YCM,32.9,,,,,,
,,,,,,,,,,,,41,1,H2O,34.2,,,,,,
,,,,,,,,,,,,42,6,A,35.7,53.5,,,,,
,,,,,,,,,,,,43,7,B,36.9,52.3,,,,,
,,,,,,,,,,,,44,8,C,37.8,26,,,,,
,,,,,,,,,,,,45,9,D,38.3,35.2,,,,,
,,,,,,,,,,,,46,10,E,42.2,77.8,,,,,
,,,,,,,,,,,,47,11,F,42.3,79.3,,,,,
,,,,,,,,,,,,48,12,G,41.5,57.1,,,,,
,,,,,,,,,,,,49,13,H,41.4,55.7,,,,,
,,,,,,,,,,,,50,14,I,47,95.3,,,,,
,,,,,,,,,,,,51,15,J,46.8,91.2,,,,,
,,,,,,,,,,,,52,16,K,43.2,90.9,,,,,
,,,,,,,,,,,,53,17,L,43.3,96.1,,,,,
,,,,,,,,,,,,54,18,M,49.5,115.1,,,,,
,,,,,,,,,,,,55,19,N,49.4,115.7,,,,,
,,,,,,,,,,,,56,20,O,46.7,143.2,,,,,
,,,,,,,,,,,,57,21,P,46.6,114.5,,,,,
,,,,,,,,,,,,58,22,Q,51.9,128.2,,,,,
,,,,,,,,,,,,59,23,R,52.9,130.5,,,,,
,,,,,,,,,,,,60,24,S ,47.4,127.9,,,,,
,,,,,,,,,,,,61,25,T ,47.2,149.3,,,,,
,,,,,,,,,,,,62,26,U,53.6,141.8,,,,,
,,,,,,,,,,,,63,27,V,53.4,132.5,,,,,
,,,,,,,,,,,,64,28,W,50.3,220.5,,,,,
,,,,,,,,,,,,65,29,X,48.3,145,,,,,
,,,,,,,,,,,,66,30,Y,,,failed injection,,,,
,,,,,,,,,,,,67,31,Z,72.4,160.4,,,,,
,,,,,,,,,,,,68,32,AA,49.4,183.7,,,,,
,,,,,,,,,,,,69,33,AB,48,197.1,,,,,
,,,,,,,,,,,,70,34,0hour,,,failed injection,,,,
,,,,,,,,,,,,71,1,H2O,58.4,,,,,,
,,,,,,,,,,,,72,2,std1,334,14.8,,,,,
,,,,,,,,,,,,73,3,std2,110.9,111.8,,,,,
,,,,,,,,,,,,74,4,std3,52.5,226.8,,,,,
,,,,,,,,,,,,75,5,1YCM,35.7,,,,,,
,,,,,,,,,,,,76,1,H2O,36.4,,,,,,
