Sample,Tube,Formulation,Storage Temperature,Flushing Location,,,H2,O2,N2,CO,CO2,Scaled CO,,AVG,observations
,,,,,,Syinge Used,,,,,,,,,
1,A,1,4,A,,A,13621,,373,888,183,809.4369973,No NaOH,821.9547812,
2,B,1,4,B,,B,13558,,374,816,182,741.8181818,,,least crinkled of set
3,C,1,4,C,,C,12905,,371,998,135,914.6091644,,,
4,D,2,4,D,,D,13088,,365,930,137,866.3013699,0.1 NaOH,605.2909328,no discernable difference in these three
5,E,2,4,E,,E,13774,,405,540,283,453.3333333,,,
6,F,2,4,F,,F,13246,,420,613,246,496.2380952,,,
7,G,3,4,G,,G,12834,,358,921,133,874.6927374,0.2 NaOH,643.9174218,
8,H,3,4,H,,H,13027,,382,735,207,654.1884817,,,
9,I,3,4,I,,I,13441,,411,487,255,402.8710462,,,least crinkled
10,J,4,4,K,,J,12131,,343,1333,80,1321.341108,0.4 NaOH,1303.33964,
11,K,4,4,L,,K,11648,,346,1294,9,1271.560694,,,
12,L,4,4,M,,L,11698,,333,1290,0,1317.117117,,,
13,M,5,4,N,,A,12550,,354,1023,97,982.5423729,0.02 g Treahlose,953.0029842,
14,N,5,4,O,,B,12485,,356,1010,104,964.6067416,,,
15,O,5,4,A,,C,12202,,371,995,113,911.8598383,,,
16,P,6,4,B,,D,12056,,338,1007,97,1012.95858,0.05 g Trehalose,854.665408,middle
17,Q,6,4,C,,E,12300,,343,1006,111,997.2011662,,,least
18,R,6,4,D,,F,11253,14.5,477,777,283,553.836478,,,most crinkled
19,S,7,4,E,,G,11643,,327,1245,36,1294.495413,0.1 g Trehalose,1270.466516,
20,T,7,4,F,,H,11583,,345,1233,45,1215.130435,,,
21,U,7,4,G,,I,11567,,327,1252,25,1301.7737,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,cell fraction,0.3,,,,,,,,,,,
,,,Formulations,Cells,media,,Total volume needed,,,,,,,,
,,,#1,OTA1,2.5% Cysteine -- No NaOH,,,,,,,,,,
,,,volume (uL),210,490,,700,,,,,,,,
,,,#2,OTA1,2.5% Cysteine in 0.1N NaOH,,,,,,,,,,
,,,volume (uL),210,490,,700,,,,,,,,
,,,#3,OTA1,2.5% Cysteine in 0.2N NaOH,,,,,,,,,,
,,,volume (uL),210,490,,700,,,,,,,,
,,,#4,OTA1,2.5% Cysteine in 0.4N NaOH,,,,,,,,,,
,,,volume (uL),210,490,,700,,,,,,,,
,,,#5,OTA1,0.02g trehalose in 0.2N NaOH,,,,,,,,,,
,,,volume (uL),210,490,,700,,,,,,,,
,,,#6,OTA1,0.05g trehalose in 0.2N NaOH,,,,,,,,,,
,,,volume (uL),210,490,,700,,,,,,,,
,,,#7,OTA1,0.1g trehalose in 0.2N NaOH,,,,,,,,,,
,,,volume (uL),210,490,,700,,,,,,,,
,,,,,,,,,,,,,,,
,,,total volume,1470,3430,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Drying Notes 3/18,,,,,,,,,,,,,,,
5 bottles used of mRCMF PCG 3/11/16 OTA1 3'A-E PCG 3/17/16,,,,,,,,,,,,,,,
First spin in Beckman at 11:22 AM.,,,,,,,,,,,,,,,
Rinsed with 20 mL from 25 mL bottle of 1YCM PCG  with 1 mL Cys and 0.2 M NaOH.,,,,,,,,,,,,,,,
Tube centrifuged in rotana for 15min at 4C and 6000rcf at 11:54 AM.,,,,,,,,,,,,,,,
Coatings made as listed above,,,,,,,,,,,,,,,
All tubes flushed with argon at 20 psi for 25 minutes.,,,,,,,,,,,,,,,
All tubes placed in refrigerator at 2:42 PM,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rehydration notes,,,,,,,,,,,,,,,
Catalyst refreshed and replaced,,,,,,,,,,,,,,,
1YCM  PCG 1/25/16 1mL 2.5 % Cys used for formula 1 ,,,,,,,,,,,,,,,
1 YCM PCG 1/25/216 0.1 N NaOH used for formula 2,,,,,,,,,,,,,,,
"1YCM PCG 3/16/16 0.2N NaOH used for formula 3, 5, 6, 7 ",,,,,,,,,,,,,,,
1YCM PCG 1/25/16 0.4N NaOH used for formula 4,,,,,,,,,,,,,,,
"Starting values on chamber 008 PPM Oxygen, 00.6 Hydrogen",,,,,,,,,,,,,,,
all tubes placed in shaker at 5:56 PM,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sampling notes,,,,,,,,,,,,,,,
A-L removed and sampled at 730am on 3/22/16,,,,,,,,,,,,,,,
remainder sampled at 815am and all placed in fridge to stop reactivity in case we need to resample,,,,,,,,,,,,,,,
"Observations for variation with P, Q, R   --- R is more crinkled than either P or Q; Paper in R is not touching the tube, however, it is closer to the wall of the tube than either P or Q; turbitity for all are roughly the same and fairly clear; cell coating on R is the darkest of the three ",,,,,,,,,,,,,,,
