Sample #,Tube,Formulation,Storage humidity,,Flushing Location,,,H2,O2,N2,CO,CO2,Scaled CO,,AVG,H2,O2,N2,CO,CO2,Scaled CO,,AVG
,,,,,,,Syinge Used,,,,,,,,,,,,,,,,
1,A,1, drierite 0,,A,,,12983,,349,1184,89,1153.467049,,,,,,,,,,
2,B,1, drierite 0,,B,,,12998,,349,1100,110,1071.633238,,,,,,,,,,
3,C,1, drierite 0,,C,,,12370,4,348,1082,87,1057.126437,,,,,,,,,,
4,D,1, drierite 0,,Under Hood,,,12775,,345,1027,120,1012.115942,,,,,,,,,,
5,E,1, CaCl 33,,D,,,12749,,341,974,119,971.143695,,,,,,,,,,
6,F,1, CaCl 33,,E,,,12458,,334,1073,87,1092.275449,,,,,,,,,,
7,G,1, CaCl 33,,F,,,12322,,338,1064,97,1070.295858,,,,,,,,,,
8,H,1, CaCl 33,,Under Hood,,,12053,12,384,1008,106,892.5,,,,,,,,,,
9,I,1, NaCl 78,,G,,,11465,,325,1276,14,1334.892308,,,,,,,,,,
10,J,1, NaCl 78,,H,,,11552,8.6,345,1284,22,1265.391304,,,,,,,,,,
11,K,1, NaCl 78,,I,,,11477,,315,1263,16,1363.238095,,,,,,,,,,
12,L,1, NaCl 78,,Under Hood,,,11400,,310,1258,14,1379.741935,,,,,,,,,,
13,M,1,uncontrolled,,K,,,12062,,324,1034,86,1085.061728,,,,,,,,,,
14,N,1,uncontrolled,,L,,,12385,,332,940,130,962.6506024,,,,,,,,,,
15,O,1,uncontrolled,,M,,,11449,,316,1195,34,1285.759494,,,,,,,,,,
16,P,1,uncontrolled,,Under Hood,,,12445,,340,895,130,895,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,cell fraction,0.3,,,,3200,,,,,,,,,,,,,,,
,,,Formulations,Cells,media,total,,,,,,,,,,,,,,,,,
,,,#1 ,OTA1,,,,,,,,,,,,,,,,,,,
,,,volume (uL),1100,2566.666667,3666.666667,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Dyring Notes:,,,,,,,,,,,,,,,,,,,,,,,
** VORTEX REALLY WELL,,,,,,,,,,,,,,,,,,,,,,,
** TURN DIALS FULL 360 DEGREES WHEN FLUSHING --- CONSISTENT!!! ,,,,,,,,,,,,,,,,,,,,,,,
all flushed for 25 min,,,,,,,,,,,,,,,,,,,,,,,
Steps:,,,,,,,,,,,,,,,,,,,,,,,
"1. Make coating, cap and crimp",,,,,,,,,,,,,,,,,,,,,,,
2. flush for 25 minutes,,,,,,,,,,,,,,,,,,,,,,,
3. bring back into anaerobic chamber,,,,,,,,,,,,,,,,,,,,,,,
"4. remove crimps and caps carefully, bring needle nosed plier in just to be safe in case something goes wrong, don't torque the aluminum too much if it isn't working",,,,,,,,,,,,,,,,,,,,,,,
5. Place in the appropriate bottles that have been capped this entire time.,,,,,,,,,,,,,,,,,,,,,,,
6. put caps back on tightly and take to flushing station again,,,,,,,,,,,,,,,,,,,,,,,
7. flush with BLUE needles at 20psi for 10min making sure needle is pointed away from open tops of balch tubes. Make sure for different septum to go through the thinnest part of the OUTER ring.,,,,,,,,,,,,,,,,,,,,,,,
8. all stored in anaerobic chamber,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Drying Notes: 3/4,,,,,,,,,,,,,,,,,,,,,,,
Cells used are OTA 1 3'A-D PCG 3/3/16 in mRCMf PCG 2/22/16 3 mL Cys 0.1N ,,,,,,,,,,,,,,,,,,,,,,,
Bottles 3'C and 3'D were transferred late,,,,,,,,,,,,,,,,,,,,,,,
First spin in Beckman at 11:20 AM.,,,,,,,,,,,,,,,,,,,,,,,
Rinsed with 20 mL from 50 mL bottle of 1YCM PCG 2/9/16 with 2 mL Cys and 0.2 M NaOH.,,,,,,,,,,,,,,,,,,,,,,,
Tube centrifuged in rotana for 15min at 4C and 6000rcf at 11:48 AM.,,,,,,,,,,,,,,,,,,,,,,,
Coating made all with same formulation using media listed above.,,,,,,,,,,,,,,,,,,,,,,,
All tubes flushed with argon at 20 psi for 25 minutes.,,,,,,,,,,,,,,,,,,,,,,,
"Brought back into chamber, decapped, and placed in respective bottles for various humidity conditions",,,,,,,,,,,,,,,,,,,,,,,
Those bottles flushed for 10 minutes under hood with argon at 20 psi with blue needles.,,,,,,,,,,,,,,,,,,,,,,,
All bottle stored in anaerobic chamber,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Reydration notes: 3/7/16,,,,,,,,,,,,,,,,,,,,,,,
Each tube rehydrated with 4 mL of 1YCM PCG 2/9/16 1 mL 2.5% cys 0.2 N NaOH,,,,,,,,,,,,,,,,,,,,,,,
Flushed with syngas with green needles at 20 psi for 2 minutes,,,,,,,,,,,,,,,,,,,,,,,
All tubes placed in shaker at 1210PM at 50 RPM and 37C,,,,,,,,,,,,,,,,,,,,,,,
Tubes A-L sampled at 1115am and returned to shaker at 1130,,,,,,,,,,,,,,,,,,,,,,,
Tubes M-P sampled at 1150 and returned to shaker at 12,,,,,,,,,,,,,,,,,,,,,,,
