Sample,Tube,Formulation,Storage Temperature,Flushing Location,,,H2,O2,N2,CO,CO2,Scaled CO,,AVG,observations,,scaling factor
,,,,,,Syinge Used,,,,,,,,,,,340
1,A,1,4,A,,A,15171,,421,1200,134,969.1211401,,,,,
2,B,1,4,B,,B,14573,,414,1160,118,952.6570048,,,,,
3,C,1,4,C,,C,14315,13,440,1044,163,806.7272727,,,,,
4,D,1,4,Hood 2,,D,14560,,418,827,215,672.6794258,,,,,
5,E,2,4,D,,E,13353,,396,1026,130,880.9090909,,,,,
6,F,2,4,E,,F,13757,17,445,910,162,695.2808989,,,,,
7,G,2,4,F,,G,13498,3,390,917,167,799.4358974,,,,,
8,H,2,4,Hood 3,,H,12897,28,458,840,164,623.580786,,,,,
9,I,3,4,G,,I,12625,12,376,1163,83,1051.648936,,,,,
10,J,3,4,H,,J,13010,,383,1033,121,917.0234987,,,,,
11,K,3,4,I,,K,12436,,374,1074,81,976.3636364,,,,,
12,L,3,4,Hood 4,,L,12216,7,353,1117,71,1075.864023,,,,,
13,M,4,4,J,,A,12051,3,335,1175,59,1192.537313,,,,,
14,N,4,4,K,,B,12000,,338,1159,53,1165.857988,,,,,
15,O,4,4,L,,C,11680,,360,1179,135,1113.5,,,,,
16,P,4,4,Hood 5,,D,11706,,330,1223,92,1260.060606,,,,,
17,Q,5,4,M,,E,11587,,326,1225,28,1277.607362,,,,,
18,R,5,4,N,,F,11270,7.4,348,1266,31,1236.896552,,,,,
19,S,5,4,O,,G,11598,3,323,1178,52,1240,,,,,
20,T,5,4,Hood 6,,H,11244,6,335,1192,40,1209.791045,,,,,
,,,,,,,,,,,,,,,,,
,,,cell fraction,0.3,,,,,,,,,,,,,
,,,Formulations,Cells,media,,Total volume needed,,,,,,,,,,
,,,#1,OTA1,2.5% Cysteine in 0.2N NaOH,,,,,,,,,,,,
,,,volume (uL),300,700,,1000,,,,,,,,,,
,,,#2,OTA1,.01g tre,,,,,,,,,,,,
,,,volume (uL),300,700,,1000,,,,,,,,,,
,,,#3,OTA1,.05g tre,,,,,,,,,,,,
,,,volume (uL),300,700,,1000,,,,,,,,,,
,,,#4,OTA1,.01g fruc,,,,,,,,,,,,
,,,volume (uL),300,700,,1000,,,,,,,,,,
,,,#5,OTA1,.05g fruc,,,,,0.01,g/mL,,,,,,
,,,volume (uL),300,700,,1000,,,10,g/L,,,,,,
,,,,,,,,,,0.25,,,,,,,
,,,total volume,1500,#REF!,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.014285714,0.057142857,,,,,,
Drying Notes 3/18,,,,,,,,,,,,,,,,,
5 bottles used of mRCMF 1mL 0.1N CYS PCG 3/23/16 OTA1 3'A-E ,,,,,,,,,,,,,,,,,
First spin in Beckman at 11:20 AM.,,,,,,,,,,,,,,,,,
Rinsed with 20 mL from 25 mL bottle of 1YCM PCG  with 1 mL Cys and 0.2 M NaOH.,,,,,,25,mL,,,,,,,,,,
Tube centrifuged in rotana for 15min at 4C and 6000rcf at 11:57 AM.,,,,,,0.025,L,,,,Tre,,,,,,
Coatings made as listed above,,,,,,,,,,,1.2522,g,,,,,
All tubes flushed with argon at 20 psi for 25 minutes.,,,,,,10,g/L,0.25,g,,0.2528,g,,,,,
All tubes placed in freezer at 2:06 PM ,,,,,,50,g/L,1.25,g,,,,,,,,
,,,,,,,,,,,Fruc,,,,,,
Rehydration notes,,,,,,,,,,,1.2515,,,,,,
 **** Remember to take 1 mL out of each media since now has 26 mL volume!! ,,,,,,,,,,,0.2515,,,,,,
rehydrated with respective media formulations,,,,,,,,,,,,,,,,,
placed in shaker at 4:46 pm,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Sampling notes,,,,,,,,,,,,,,,,,
A-L removed and sampled at 730am on 4/5/16,,,,,,,,,,,,,,,,,
remainder sampled at 815am and all placed in fridge to stop reactivity in case we need to resample,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
