purpose: to see why we are getting slower uptake of CO than previously comparing different growth media and 1YCM to see if salt solution messed everything up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,On 10/21 at 10am,,,,,,,,,,,,,,,,,
Tube,Notch placement (temp column.),substrate,Volume to add in mL,total liquid volume,Media type,headspace,Drying Time,Storage,Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,,H2,O2,N2,CO,CO2,Scaled CO,N2 Base,Average,H2,O2,N2,CO,CO2,Scaled CO,N2 Base,Average,,,,,,,,,,
SYNGAS,,,,,,,,Rh,,,,,,,,,,,,,,340,,,,,,,,340,,,,,,,,,,,
A,No notch,3MM,4,4.2,1YCM (PCG 10/01/15) xtra cys and Na2S,,60 min @ 25in Hg,11,1,10,200,10,50,,A,12125,,318,1046,77,1118.36478,,,12960.5,0,329.6,877.3,136.4,904.9817961,,,,,,,,,,,,
B,No notch,3MM,4,4.2,1YCM (PCG 10/01/15) xtra cys and Na2S,,60 min @ 25in Hg,11,1,10,200,10,50,,B,12122,,307,1184,36,1311.270358,,,12476.5,0,312.9,1079.2,59.8,1172.668584,,,,,,,,,,,,
C,No notch,3MM,4,4.2,1YCM (PCG 10/01/15) xtra cys and Na2S,,60 min @ 25in Hg,flush,1,10,200,10,50,,C,11975,,321,1183,24,1253.021807,,,11986.5,0,311.9,1065.6,63.7,1161.603078,,,,,,,,,,,,
D,LN,3MM,4,4.2,1YCM (PCG 10/01/15) xtra cys,,60 min @ 25in Hg,0,2,10,200,10,50,,D,12145,,319,1132,52,1206.520376,,,12763.4,0,328.7,923.9,125,955.6616976,,,,,,,,,,,,
E,LN,3MM,4,4.2,1YCM (PCG 10/01/15) xtra cys,,60 min @ 25in Hg,0,2,10,200,10,50,,E,12380,,328,1025,97,1062.5,,,12470.1,0,348.3,923.4,124,901.3953488,,,,,,,,,,,,
F ,LN,3MM,4,4.2,1YCM (PCG 10/01/15) xtra cys,,60 min @ 25in Hg,flush,2,10,200,10,50,,F,12488,,318,1177,37,1258.427673,,,12363.7,0,319,941.6,91.3,1003.586207,,,,,,,,,,,,
G,RN,602hh ,4,4.12,1YCM (PCG 10/01/15) xtra cys and Na2S,,60 min @ 25in Hg,0,3,10,120,10,50,,G,12481,,340,1026,109,1026,,,13154.9,0,360.3,692.6,221,653.5775742,,,,,,,,,,,,
H,RN,602hh ,4,4.12,1YCM (PCG 10/01/15) xtra cys and Na2S,,60 min @ 25in Hg,0,3,10,120,10,50,,H,12367,,422,832,137,670.3317536,,,12928.3,0,558.6,329,308.5,200.2506266,,,,,,,,,,,,
I,RN,602hh ,4,4.12,1YCM (PCG 10/01/15) xtra cys and Na2S,,60 min @ 25in Hg,flush,3,10,120,10,50,,I,12650,,358,844,166,801.5642458,,,13367.7,0,470.3,267.2,364.1,193.1703168,,,,,,,,,,,,
J,MD,602hh ,4,4.12,1YCM (PCG 10/01/15) xtra cys,,60 min @ 25in Hg,11,4,10,120,10,50,,J,12508,,339,969,124,971.8584071,,,13560.4,0,378,544.9,241,490.1216931,,,,,,,,,,,,
