purpose: to see why we are getting slower uptake of CO than previously,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tube,Notch placement (temp column.),substrate,Volume to add in mL,total liquid volume,Media type, ,Drying Time,Bottle,Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,,,,,,,,,,,,,
SYNGAS,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,,3MM,4,4.2,1YCM,5.0 Ar,N/A,A (Drierite),1,10,200,10,50,,,,,,,,,,,,,,
B,,3MM,4,4.2,1YCM,5.0 Ar,N/A,A (Drierite),1,10,200,10,50,,,,,,,,,,,,,,
C,,3MM,4,4.2,1YCM,5.0 Ar,N/A,A (Drierite),1,10,200,10,50,,,,,,,,,,,,,,
D,None,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,B (LiCl),2,10,200,10,50,,,,,,,,,,,,,,
E,none,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,B (LiCl),2,10,200,10,50,,,,,,,,,,,,,,
F ,none,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,B (LiCl),2,10,200,10,50,,,,,,,,,,,,,,
G,Left,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,C (LiCl),1,10,200,10,50,,,,,,,,,,,,,,
H,left,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,C (LiCl),1,10,200,10,50,,,,,,,,,,,,,,
I,left,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,C (LiCl),1,10,200,10,50,,,,,,,,,,,,,,
J,right,3MM,4,4.2,1YCM ,5.0 Ar,60 min @ 25in Hg,D (LiCl),3,10,200,10,50,,,,,,,,,,,,,,
K,right,3MM,4,4.2,1YCM ,5.0 Ar,60 min @ 25in Hg,D (LiCl),3,10,200,10,50,,,,,,,,,,,,,,
L,right,3MM,4,4.2,1YCM ,5.0 Ar,60 min @ 25in Hg,D (LiCl),3,10,200,10,50,,,,,,,,,,,,,,
M,mid,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,E (Drierite),1,10,200,10,50,,,,,,,,,,,,,,
N,mid,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,E (Drierite),1,10,200,10,50,,,,,,,,,,,,,,
O,mid,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,E (Drierite),1,10,200,10,50,,,,,,,,,,,,,,
P,middle & left,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,F (CaCl),1,10,200,10,50,,,,,,,,,,,,,,
Q,middle & left,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,F (CaCl),1,10,200,10,50,,,,,,,,,,,,,,
R,middle & left,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,F (CaCl),1,10,200,10,50,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,total,72,,,,,,,3mL total,3000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:,,   ,,,,,,,,,Formulations ,,,,,,,,,,,,,,,,
5 bottles,,,**NOTE: The rinsing step will need to be differentiated between formulations as well,,,,,,,,cells,media,total,,,,,,,,,,,,,,
Formulations2&3 rinsed with 5mL of respective 1YCM ,,,,,,,,,,1YCM w/ 3mL cys,#1 ,0.3,,,,,,,,,,,,,,,
Formulations 1 rinsed with 15mL 1YCm,,,,,,,,,,,800,1866.666667,2666.666667,,,,,,,,,,,,,,
CaCl2 had 9mL of H20 added to 40mL of CaCl2,,,,,,,,,,1YCM w/ 2mL cys,#2,0.3,,,,,,,,,,,,,,,
LiCl had 8mL of H2O added to 25mL of LiCl,,,,,,,,,,,200,466.6666667,666.6666667,,,,,,,,,,,,,,
Bottles flushed with argon and stored in ana.chamber at 2:00pm. ,,,,,,,,,,1YCM w/ 1mL cys,#3,0.3,,,,,,,,,,,,,,,
A-R removed from shaker at 9/29/15,,,,,,,,,,,200,466.6666667,666.6666667,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
