Tube,Notch placement (temp column.),substrate,Volume to add in mL,total liquid volume,RH Storage,Formulation,Drying Time,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,H2,O2,N2,CO,CO2,Scaled CO,N2 Base,H2,O2,N2,CO,CO2,Scaled CO,N2 Base,
,,,,,,,,,,,,samples assayed,,,,,,,340,,,,,,,340,
A,No notch,602h,4,4.12,11,1,30,10,120,10,50,at 2:30,12770.3,0,340.8,1249.9,49.8,1246.965962,,12849.8,0,366,1031.9,115.2,958.5956284,,
B,No notch,602h,4,4.12,11,1,30,10,120,10,50,,12852.7,0,344.1,1098.4,103,1085.312409,,13462.6,0,364.5,745.6,224.2,695.484225,,
C,No notch,602h,4,4.12,11,1,60,10,120,10,50,,12271.7,0,335.9,1140.8,66.7,1154.72462,,13071.1,0,367.2,836.3,193.3,774.3518519,,
D,No notch,602h,4,4.12,11,1,90,10,120,10,50,,12865.8,0,349.3,962.2,148,936.5817349,,13763.2,0,391.3,505.9,302.5,439.5757731,,
E,LN,602h,4,4.12,11,2,30,10,120,10,50,,12311.1,0,332.8,1129.6,68.3,1154.038462,,12679.3,0,347.4,951.2,148.4,930.9383995,,
F,LN,602h,4,4.12,11,2,30,10,120,10,50,,12675.6,0,343.5,979.3,133.8,969.3216885,,13400.3,0,366.9,631.6,256.8,585.2929954,,
G,LN,602h,4,4.12,11,2,60,10,120,10,50,,12401.5,0,334.1,1055.1,89.1,1073.732415,,13056.5,0,371.8,710.4,206.9,649.6395912,,
H,LN,602h,4,4.12,11,2,90,10,120,10,50,,12146,0,353.1,1042.1,105.3,1003.43812,,13056.5,0,371.8,710.4,206.9,649.6395912,,
I,RN,602h,4,4.12,11,3,30,10,120,10,50,,11841,0,325,1183.3,56.7,1237.913846,,12185,0,336.7,1055.4,99.5,1065.743986,,
J,RN,602h,4,4.12,11,3,60,10,120,10,50,,11981.7,0,325.2,1177.7,47.6,1231.297663,,12328.5,0,333.7,1021.1,114.2,1040.377585,,
K,Rn,602h,4,4.12,11,3,60,10,120,10,50,,12019.3,0,329.4,1079.7,104.3,1114.444444,,12607.9,0,339.6,826.6,175.2,827.573616,,
L,Rn,602h,4,4.12,11,3,90,10,120,10,50,,12020.6,0,334.3,1069,89.9,1087.227042,,12643.6,0,353.4,793.1,191.9,763.0277306,,
M,MN,602h,4,4.12,11,4,30,10,120,10,50,,11721.7,0,369.4,873.6,140.8,804.0714672,,11942.9,0,432.7,587.8,233.5,461.8719667,,
