,Conditions,replicates,coating volume,cell fraction,pellet volume needed (uL),,,,,,,OD(600),1.15,(1 and 1.3),,Cells in 1200ul microcenterfuge,,,,,,,,,,,,,,,
,7,3,120,0.5,1260,,,,,,,weight,363,mg/L/OD600,,83.49,mg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*for each vacuum dry sample,,,,,,,,,,,bottles,4,,,Cell in 120ul on each coating,,,,,,,,,,,,,,,
,A = after drying weight - (paper weight-atmosphere water)= dry cell weight + water residue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*for oven dry cell coating (sample 1),,,,,,,,,,,volume/bottle,100,ml,,0.008349,g,,,,,,,,,,,,,,
,B = cell coating after oven dry - (sample 1 paper weight- atmosphere water ratio*sample 1 paper weigh) = dry cell weight of 120ul cell ,,,,,,,,,,,cell weight,166.98,mg,Initial ,14.3729788,g/g,,,,,,,,,,,,,,
,*for oven dry paper(sample 2) to calculate atmosphere water ratio which is initial atmosphere water per g paper,,,,,,,,,,,volume of pellet,1.2,mL,,,,,,,,,,,,,,,,,
,atmosphere water ratio = (sample 2 paper weight-sample 2 oven dry)/sample 2 paper weight,,,,,,,,,,,cell concentration,139.15,mg/mL,,,,,,,,,,,,,,,,,
,C = A-B = water residue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D (g water/g cell) = C / B or C/ calculated dry cell weight using OD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,paste dilution,0.5,,,cells in 120uL,,,,,,,,,,,,,,,
filter paper,,,Cell Coating,weight of paper,weight of each paper,after drying weight,after drying each,average after drying,atmosphere water ratio,atmosphere water(g),,coating concentration,69.575,mg/mL,,0.008349,g,,,,,,,,,,,,,,
,oven,oven paper,1,0.2238,0.2238,0.2157,0.2157,0.212333333,0.036193029,0.0081,,water in microcenterfuge,600,ul,,g/g,,,,,,,,,,,,,,,
,,,2,0.4459,0.2221,0.426,0.2103,,0.053129221,0.0118,,,,,,,,,,,,,,,,,,,,,
,,,3,0.6671,0.2212,0.637,0.211,,0.046112116,0.0102,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,average,0.045144789,0.010033333,,cell in microcenterfuge,600,ul,,14.3729788,,,,,,,,,,,,,,,
,,,,,,,,,B(g),,,,,,,,,,,,,,,,,,,,,,
,,oven coating,4,0.2325,0.2325,0.2304,0.2304,0.2284,0.008396163,,,,,,,,,,,,,,,,,,,,,,
,,,5,0.4583,0.2258,0.4562,0.2258,,0.010193693,,,,,,,,,,,,,,,,,,,,,,
,,,6,0.6871,0.2288,0.6852,0.229,,0.010529128,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,average,0.009706328,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,OD,,,,,,,,,,,,,,,,
,,,,,,,,,A(g) after drying,C(g) water residue,Experimental D(gwater/gcell),Calculate D(g/g),,,0.8ml ,mRcmf,,,,,,,,,,,,,,,
,120ul cell solution (0.5),0,,,,,,,0.1148,0.105093672,10.82733559,12.58757598,,,,,,,,,,,,,,,,,,,
