9 coatings for vacuum,,,,,Assum. OD(600),1.8,,,Cells in 1200ul microcenterfuge,,,,
3 coatings for oven,,,,,weight,363,mg/L/OD600,,43.56,mg,,,
3 non-coatings for oven,,,,,bottles,2,,,Cell in 120ul on each coating,,,,
,,,,,volume/bottle,100,ml,,0.004356,g,,,
total volume of the pellet,,1800,ul,,cell weight,130.68,mg,Initial ,27.54820937,g/g,,,
,,,,,volume of pellet,1.8,mL,,,,,,
,,,,,cell concentration,72.6,mg/mL,,,,,,
"50% cells, 120uL",,,,,paste dilution,0.5,,,cells in 120uL,,,,
#2 on the oven gives us 80C,,,,,coating concentration,36.3,mg/mL,,0.004356,g,,,
coatings,,volume,total ,,water in microcenterfuge,600,ul,,g/g,,,,
9,,120,1080,,cell in microcenterfuge,600,ul,,27.54820937,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Initial, vacuum 15min,,,vacuum 30min,,,vacuum 60min,,,oven 60min,,
,,rep1,rep2,rep3,rep1,rep2,rep3,rep1,rep2,rep3,rep1,rep2,rep3
Cell Coating,,c1,c2,c3,c4,c5,c6,c7,c8,c9,o1c,o2c,o3c
weight of paper,,0.222,0.4402,0.6595,0.2282,0.4504,0.6789,0.2215,0.4477,0.6642,0.2278,0.4573,0.6794
after coating,,0.3417,0.6788,1.0161,0.3453,0.6879,1.0357,0.3407,0.6813,1.015,0.3464,0.6922,1.0331
After drying,,0.2387,0.4746,0.7121,0.2349,0.467,0.7058,0.228,0.4618,0.6866,0.2212,0.4494,0.6711
,,,,,,,,,,,rep1,rep2,rep3
Water,,,,,,,,,,,w1,w2,w3
weight of paper,,,,,,,,,,,0.2212,0.4449,0.6689
after coating,,,,,,,,,,,0.337,0.675,1.0165
After drying,,,,,,,,,,,0.2094,0.4237,0.6394
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Cell Coating,,c1,c2,c3,c4,c5,c6,c7,c8,c9,7,8,9
weight of paper,,0.222,0.2182,0.2193,0.2282,0.2222,0.2285,0.2215,0.2262,0.2165,0.2278,0.2295,0.2221
after coating each,,0.3417,0.3371,0.3373,0.3453,0.3426,0.3478,0.3407,0.3406,0.3337,0.3464,0.3458,0.3409
after drying each,,0.2387,0.2359,0.2375,0.2349,0.2321,0.2388,0.228,0.2338,0.2248,0.2212,0.2282,0.2217
average after drying,,0.237366667,,,0.235266667,,,0.228866667,,,0.2237,,
Water,,,,,,,,,,,w1,w2,w3
weight of paper,,,,,,,,,,,0.2212,0.2237,0.224
after coating each,,,,,,,,,,,0.337,0.338,0.3415
after drying each,,,,,,,,,,,0.2094,0.2143,0.2157
average after drying,,,,,,,,,,,0.213133333,,
residual water,,0.013666667,,,0.011566667,,,0.005166667,,,0,,
