,,mins,v/v% CO,,f(x) =,-0.04502844,*X +,89.23153138,,,,,,,,,,,
11/12/2015,12:44:33 PM,38,85.979,,diameter of polycarbonate tube,,,,,,,,,,,,,,
11/12/2015,12:45:33 PM,39,86.231,,1.6,cm,,,,,,,,,,,,,
11/12/2015,12:46:33 PM,40,86.122,,circumference,,,,,,,,,,,,,,
11/12/2015,12:47:33 PM,41,86.62,,5.026548246,cm,,,Initial number of moles of CO ,,,,,Rate mmol CO/m^2*h,,,,,
11/12/2015,12:48:33 PM,42,86.225,,,,,,5 PSI gauge ,,,n=PV/RT,,Assuming constant 70 mL volume of reactor,,,,,
11/12/2015,12:49:33 PM,43,86.929,,reservoir,20,mL,,CO fraction of Syngas,0.45,T ,294.15,K,Initial CO volume in reactor,,31.5,mL,,
11/12/2015,12:50:33 PM,44,86.781,,reactor ,70,mL,,PSI to ATM ,0.068046,R,0.08206,(L*atm)/(mol*K),Decreasing at 27.3% of 70 mL volume per hour,,,,,
11/12/2015,12:51:33 PM,45,86.164,,coating area,40,cm^2,,Room Temp (C),21,P,1.34023,atm,-0.027017064,,-1.891194497,mL/h,,
11/12/2015,12:52:33 PM,46,86.062,,reactivity ,-2.701706424,CO%/h,,,,V,0.0315,L,Change to mmol/h,,,,,
11/12/2015,12:53:33 PM,47,86.619,,,,,,,,n=,0.001748999,mol of CO,Multiply by density; divide by molecular weight,,,,,
11/12/2015,12:54:33 PM,48,86.084,,,,,,,,,1.748998848,mmol of CO,density of CO,1.14,kg/m^3,,,
11/12/2015,12:55:33 PM,49,86.539,,,,,,,,,,,m^3 to mL,0.000001,,,,
11/12/2015,12:56:33 PM,50,86.323,,Notes,,,,,,,,,kg to g,1000,,,,
11/12/2015,12:57:33 PM,51,86.138,,Started at 9am,,,,,,,,,,0.00114,g/mL,,,
11/12/2015,12:58:33 PM,52,86.119,,all reactor lines blown out with air to clear any excess water,,,,,,,,,,-0.002155962,g/h,,,
11/12/2015,12:59:33 PM,53,86.027,,reactor zone and reservoir dried with Chemwipe.,,,,,,,,,molecular weight CO,28.01,g/mol,,,
11/12/2015,1:00:33 AM,54,86.499,,,,,,,,,,,,-7.69711E-05,mol/h,,,
11/12/2015,1:01:34 AM,55,86.2,,,,,,,,,,,,-0.076971143,mmol/h,,,
11/12/2015,1:02:34 AM,56,86.17,,,,,,,,,,,Divide by area,0.004,m^2,,,
11/12/2015,1:03:34 AM,57,86.296,,,,,,,,,,,,-19.24278585,mmol/m^2*h,,,
11/12/2015,1:04:34 AM,58,86.576,,,,,line,tube,,ethanol,ACETATE,,,,,,,
11/12/2015,1:05:34 AM,59,85.765,,,,,1,1,H2O,28.3,,,,,,,,
11/12/2015,1:06:34 AM,60,85.937,,,,,2,2,std1,1042.1,34.1,,,,,,,
11/12/2015,1:07:34 AM,61,86.326,,,,,3,3,std2,206,442.9,,,,,,,
11/12/2015,1:08:34 AM,62,85.945,,,,,4,4,std3,83.4,883,,,,,,,
11/12/2015,1:09:34 AM,63,85.905,,,,,5,1,H2O,37.3,,,,,,,,
11/12/2015,1:10:34 AM,64,85.689,,,,,6,5,res,178.1,1361,,,,,,,
11/12/2015,1:11:34 AM,65,86.065,,,,,7,6,rxr,146.3,1351.8,,,,,,,
11/12/2015,1:12:34 AM,66,86.114,,,,,8,1,H2O,44.1,,,,,,,,
11/12/2015,1:13:34 AM,67,85.923,,,,,9,2,std1,812.9,49.2,,,,,,,
11/12/2015,1:14:34 AM,68,86.239,,,,,10,3,std2,247.9,446.4,,,,,,,
11/12/2015,1:15:34 AM,69,85.922,,,,,11,4,std3,aborted,aborted,,,,,,,
11/12/2015,1:16:34 AM,70,85.404,,,,,12,1,H2O,aborted,aborted,,,,,,,
11/12/2015,1:17:34 AM,71,86.104,,,,,,,,,,,,,,,,
11/12/2015,1:18:34 AM,72,85.878,,,,,,,,,,,,,,,,
11/12/2015,1:19:34 AM,73,85.943,,,,,Second Run with fresh m-phosphoric acid,,,,,,,,,,,
11/12/2015,1:20:34 AM,74.02,86.032,,,,,line,tube,,ethanol,ACETATE,,,,,,,
11/12/2015,1:21:33 AM,75,85.704,,,,,1,1,H2O,42.3,,,,,,,,
11/12/2015,1:22:33 AM,76,86.145,,,,,2,2,std1,833.4,43.8,,,,,,,
11/12/2015,1:23:33 AM,77,85.716,,,,,3,3,std2,212.2,374,,,,,,,
11/12/2015,1:24:33 AM,78,86.043,,,,,4,4,std3,78.6,657.6,,,,,,,
11/12/2015,1:25:33 AM,79,85.707,,,,,5,1,H2O,42.9,,,,,,,,
11/12/2015,1:26:33 AM,80,85.737,,,,,6,5,res,142.8,1012.8,,,,,,,
11/12/2015,1:27:33 AM,81,85.199,,,,,7,6,rxr,174.4,1127.2,,,,,,,
11/12/2015,1:28:33 AM,82,85.4,,,,,8,1,H2O,50.9,,,,,,,,
11/12/2015,1:29:33 AM,83,85.605,,,,,9,2,std1,722.5,38,,,,,,,
11/12/2015,1:30:33 AM,84,85.713,,,,,10,3,std2,211.4,348.9,,,,,,,
11/12/2015,1:31:33 AM,85,85.302,,,,,11,4,std3,83.6,619.4,,,,,,,
11/12/2015,1:32:33 AM,86,85.68,,,,,12,1,H2O,47,,,,,,,,
11/12/2015,1:33:33 AM,87,85.265,,,,,,,,,,,,,,,,
11/12/2015,1:34:33 AM,88,85.681,,,,,,,,,,,,,,,,
11/12/2015,1:35:33 AM,89,85.474,,,,,,,,,,,,,,,,
11/12/2015,1:36:33 AM,90,85.722,,,,,,,,,,,,,,,,
11/12/2015,1:37:33 AM,91,85.418,,,,,,,,,,,,,,,,
11/12/2015,1:38:33 AM,92,85.49,,,,,,,,,,,,,,,,
11/12/2015,1:39:33 AM,93,85.284,,,,,,,,,,,,,,,,
11/12/2015,1:40:33 AM,94,85.393,,,,,,,,,,,,,,,,
11/12/2015,1:41:33 AM,95,86.136,,,,,,,,,,,,,,,,
11/12/2015,1:42:33 AM,96,85.641,,,,,,,,,,,,,,,,
11/12/2015,1:43:33 AM,97,85.51,,,,,,,,,,,,,,,,
11/12/2015,1:44:33 AM,98,85.657,,,,,,,,,,,,,,,,
11/12/2015,1:45:33 AM,99,85.691,,,,,,,,,,,,,,,,
11/12/2015,1:46:33 AM,100,85.381,,,,,,,,,,,,,,,,
11/12/2015,1:47:33 AM,101,85.533,,,,,,,,,,,,,,,,
11/12/2015,1:48:33 AM,102,85.697,,,,,,,,,,,,,,,,
11/12/2015,1:49:33 AM,103,85.105,,,,,,,,,,,,,,,,
11/12/2015,1:50:33 AM,104,84.991,,,,,,,,,,,,,,,,
11/12/2015,1:51:33 AM,105,84.672,,,,,,,,,,,,,,,,
11/12/2015,1:52:33 AM,106,85.013,,,,,,,,,,,,,,,,
11/12/2015,1:53:33 AM,107,84.875,,,,,,,,,,,,,,,,
11/12/2015,1:54:33 AM,108,84.584,,,,,,,,,,,,,,,,
11/12/2015,1:55:33 AM,109,85.054,,,,,,,,,,,,,,,,
11/12/2015,1:56:33 AM,110,84.605,,,,,,,,,,,,,,,,
11/12/2015,1:57:33 AM,111,84.573,,,,,,,,,,,,,,,,
11/12/2015,1:58:33 AM,112,84.161,,,,,,,,,,,,,,,,
11/12/2015,1:59:33 AM,113,84.272,,,,,,,,,,,,,,,,
11/12/2015,2:00:33 AM,114,84.664,,,,,,,,,,,,,,,,
11/12/2015,2:01:33 AM,115,84.46,,,,,,,,,,,,,,,,
11/12/2015,2:02:33 AM,116,84.578,,,,,,,,,,,,,,,,
11/12/2015,2:03:33 AM,117,84.749,,,,,,,,,,,,,,,,
11/12/2015,2:04:33 AM,118,84.834,,,,,,,,,,,,,,,,
11/12/2015,2:05:33 AM,119,84.669,,,,,,,,,,,,,,,,
11/12/2015,2:06:33 AM,120,84.677,,,,,,,,,,,,,,,,
11/12/2015,2:07:33 AM,121,84.587,,,,,,,,,,,,,,,,
11/12/2015,2:08:33 AM,122,84.771,,,,,,,,,,,,,,,,
11/12/2015,2:09:33 AM,123,84.245,,,,,,,,,,,,,,,,
11/12/2015,2:10:33 AM,124,84.388,,,,,,,,,,,,,,,,
11/12/2015,2:11:33 AM,125,84.146,,,,,,,,,,,,,,,,
11/12/2015,2:12:33 AM,126,84.245,,,,,,,,,,,,,,,,
11/12/2015,2:13:33 AM,127,84.067,,,,,,,,,,,,,,,,
11/12/2015,2:14:34 AM,128,83.951,,,,,,,,,,,,,,,,
