Tube,Notch placement (temp column.),substrate,Volume to add in mL,total liquid volume,Media type, ,Drying Time,Bottle,Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,,,,,,,,,,,,,
SYNGAS,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,,3MM,4,4.2,1YCM,5.0 Ar,N/A,A (Drierite),1,10,200,10,50,,,,,,,,,,,,,,
B,,3MM,4,4.2,1YCM,5.0 Ar,N/A,A (Drierite),1,10,200,10,50,,,,,,,,,,,,,,
C,,3MM,4,4.2,1YCM,5.0 Ar,N/A,A (Drierite),1,10,200,10,50,,,,,,,,,,,,,,
D,None,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,B (LiCl),2,10,200,10,50,,,,,,,,,,,,,,
E,none,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,B (LiCl),2,10,200,10,50,,,,,,,,,,,,,,
F ,none,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,B (LiCl),2,10,200,10,50,,,,,,,,,,,,,,
G,Left,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,C (LiCl),1,10,200,10,50,,,,,,,,,,,,,,
H,left,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,C (LiCl),1,10,200,10,50,,,,,,,,,,,,,,
I,left,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,C (LiCl),1,10,200,10,50,,,,,,,,,,,,,,
J,right,3MM,4,4.2,1YCM ,5.0 Ar,60 min @ 25in Hg,D (LiCl),3,10,200,10,50,,,,,,,,,,,,,,
K,right,3MM,4,4.2,1YCM ,5.0 Ar,60 min @ 25in Hg,D (LiCl),3,10,200,10,50,,,,,,,,,,,,,,
L,right,3MM,4,4.2,1YCM ,5.0 Ar,60 min @ 25in Hg,D (LiCl),3,10,200,10,50,,,,,,,,,,,,,,
M,mid,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,E (Drierite),1,10,200,10,50,,,,,,,,,,,,,,
N,mid,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,E (Drierite),1,10,200,10,50,,,,,,,,,,,,,,
O,mid,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,E (Drierite),1,10,200,10,50,,,,,,,,,,,,,,
P,middle & left,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,F (CaCl),1,10,200,10,50,,,,,,,,,,,,,,
Q,middle & left,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,F (CaCl),1,10,200,10,50,,,,,,,,,,,,,,
R,middle & left,3MM,4,4.2,1YCM,5.0 Ar,60 min @ 25in Hg,F (CaCl),1,10,200,10,50,,,,,,,,,,,,,,
